,1. open,2. high,3. low,4. close,5. volume
2023-10-25,32.7000,33.3300,31.0000,31.4200,504212680
2023-09-28,31.9500,33.6100,31.8800,32.9700,921651190
2023-08-31,35.5300,35.5800,30.8000,31.5500,1447639790
2023-07-31,32.9000,36.0400,31.2600,35.5600,1049290470
2023-06-30,32.3100,34.2500,32.0200,32.7600,752951840
2023-05-31,33.6000,36.1000,32.1600,32.3000,1051269750
2023-04-28,34.3100,36.3500,32.1400,33.6000,1247985700
2023-03-31,37.2500,38.7700,33.7100,34.2700,1277492610
2023-02-28,41.6400,41.6900,36.6800,37.3100,1170396940
2023-01-31,37.2600,42.6300,36.5300,41.2100,914515840
2022-12-30,35.9000,37.6300,34.6100,37.2600,1170982540
2022-11-30,27.1000,35.4400,27.0100,34.9600,1831361050
2022-10-31,32.9900,33.0900,26.3000,26.8200,1443832200
2022-09-30,34.8600,36.0600,33.0000,33.6500,1391013510
2022-08-31,34.9900,35.2400,32.5900,35.0500,1426036430
2022-07-29,42.3800,42.3800,34.8600,35.0700,1510479790
2022-06-30,39.7000,42.7000,38.1000,42.2000,1478847620
2022-05-31,39.9300,40.1800,35.2600,39.6900,1524011770
2022-04-29,46.4900,47.7300,37.6000,39.9300,2067506910
2022-03-31,50.0000,50.5000,39.1800,46.8000,1624973690
2022-02-28,49.2100,53.0000,49.2100,49.8000,760722150
2022-01-28,48.7100,52.0000,47.5100,49.2100,1265073120
2021-12-31,49.4800,54.2000,47.6100,48.7100,1171264560
2021-11-30,54.0000,54.9000,48.8200,49.4900,1038531340
2021-10-29,51.4400,56.2300,51.4400,53.9700,771297880
2021-09-30,48.8800,54.8900,48.1000,50.4500,1262689880
2021-08-31,46.8000,53.5700,45.2100,48.9600,1400606660
2021-07-30,54.2100,56.0000,45.8000,46.5000,1502699990
2021-06-30,57.7000,58.9200,53.1200,54.1900,1018270510
2021-05-31,52.7000,58.8500,52.4800,58.1900,882242260
2021-04-30,51.0900,54.5000,48.2800,52.7000,978418760
2021-03-31,51.1100,55.2500,48.1800,51.1000,1765879860
2021-02-26,51.0000,57.6000,50.4800,51.1000,1318578130
2021-01-29,43.9500,53.8900,41.4400,51.1000,1989325400
2020-12-31,44.4000,47.1000,41.7100,43.9500,1411120020
