,1. open,2. high,3. low,4. close,5. volume
2023-10-20,6.0200,6.1000,5.6800,5.6900,1230438300
2023-09-28,6.0900,6.4000,5.9700,6.0700,2581808660
2023-08-31,6.2200,6.4100,5.9300,6.0700,2633607800
2023-07-31,6.3800,6.7300,6.1400,6.2000,1776631890
2023-06-30,6.3600,6.8800,5.9900,6.3600,2654477020
2023-05-31,6.7100,6.9900,5.9600,6.3600,3859394130
2023-04-28,5.7000,6.7400,5.5200,6.7100,4328608620
2023-03-31,4.6600,5.9300,4.6600,5.6200,6322009710
2023-02-28,4.5300,4.7200,4.4500,4.6600,1784536010
2023-01-31,4.3600,4.5900,4.3400,4.5200,1419626020
2022-12-30,4.5500,4.6600,4.3000,4.3600,2045938700
2022-11-30,4.0600,4.5300,4.0500,4.5300,2703890320
2022-10-31,4.3500,4.3900,4.0600,4.0700,2204477950
2022-09-30,4.2400,4.5500,4.1300,4.2900,3260578890
2022-08-31,4.1200,4.3100,4.0400,4.2700,2312193190
2022-07-29,4.0800,4.1600,4.0200,4.1100,1604056090
2022-06-30,4.4400,4.5600,4.0200,4.0800,3896529200
2022-05-31,4.3400,4.4600,4.2200,4.4600,2789573650
2022-04-29,4.3200,4.4200,4.1500,4.3400,2985491120
2022-03-31,4.3200,4.4600,3.9600,4.3200,4331753860
2022-02-28,4.1900,4.6100,4.1900,4.3300,3609727400
2022-01-28,4.2300,4.4200,4.1800,4.1900,3158637310
2021-12-31,4.0400,4.2800,4.0400,4.2300,2452391640
2021-11-30,4.2400,4.2700,4.0200,4.0400,2704464870
2021-10-29,4.4600,4.6700,4.1700,4.2500,3456762260
2021-09-30,4.2700,4.9500,4.2200,4.4600,7299089270
2021-08-31,3.9800,4.2800,3.9200,4.2600,3145904930
2021-07-30,4.3700,4.4200,3.9500,3.9900,2758693360
2021-06-30,4.4200,4.8000,4.2800,4.3600,3550950980
2021-05-31,4.2800,4.5400,4.2800,4.4200,2534572990
2021-04-30,4.3200,4.4700,4.1700,4.2800,2407153950
2021-03-31,4.5400,4.6900,4.1900,4.3300,4150013920
2021-02-26,3.9400,4.8400,3.9100,4.5100,4033179750
