,1. open,2. high,3. low,4. close,5. volume
2023-10-20,1.7200,1.7400,1.5800,1.5900,1483839060
2023-09-28,1.7900,1.8500,1.7100,1.7200,3128662700
2023-08-31,1.8900,1.9700,1.7600,1.7900,5196866120
2023-07-31,1.8000,1.9200,1.7900,1.8900,5139996570
2023-06-30,1.8200,1.8700,1.7700,1.7900,2492966000
2023-05-31,1.8200,1.9100,1.8000,1.8300,3440790670
2023-04-28,1.8900,1.9200,1.7700,1.8200,3307572060
2023-03-31,2.0600,2.0800,1.8400,1.8900,5148209880
2023-02-28,2.0400,2.1400,1.9800,2.0500,6419095140
2023-01-31,1.9200,2.0700,1.8900,2.0400,3910993650
2022-12-30,2.0000,2.0900,1.8600,1.9200,5972775710
2022-11-30,1.7600,2.2000,1.7600,1.9900,10591523500
2022-10-31,1.8500,1.9400,1.7500,1.7600,3642649770
2022-09-30,2.0000,2.0800,1.8200,1.8400,4818064370
2022-08-31,2.2300,2.2400,1.9900,2.0100,7673912700
2022-07-29,2.3300,2.5400,2.0700,2.2600,12149336640
2022-06-30,2.0100,2.7100,1.9800,2.3500,23286078570
2022-05-31,1.8800,2.1600,1.7800,2.0100,10433939750
2022-04-29,2.2200,2.3500,1.7500,1.8800,9009865360
2022-03-31,2.6800,2.6800,2.1100,2.2300,11548695810
2022-02-28,2.3400,2.7500,2.3400,2.6800,11040196550
2022-01-28,2.7900,2.9100,2.2800,2.3400,12774396480
2021-12-31,2.8700,3.2200,2.7100,2.7900,22786638130
2021-11-30,2.8000,3.0800,2.4100,2.8900,24305689890
2021-10-29,3.1700,3.2700,2.7400,2.8100,15750368630
2021-09-30,4.1400,4.1400,2.9800,3.1700,39452247060
2021-08-31,2.8000,3.7600,2.4300,3.7600,39634111820
2021-07-30,1.5500,2.9300,1.5100,2.8500,45876502930
2021-06-30,1.6200,1.7200,1.5100,1.5500,10828637370
2021-05-31,1.4700,1.9000,1.4700,1.6400,17313962190
2021-04-30,1.5600,1.7000,1.4600,1.4700,15339320270
