,1. open,2. high,3. low,4. close,5. volume
2023-10-25,12.6500,12.6700,11.2800,11.3900,701563990
2023-09-28,14.2100,14.6200,12.6900,12.7400,1239875990
2023-08-31,14.1200,14.8900,13.4300,13.9800,1799238840
2023-07-31,13.0000,14.7700,12.3400,14.2300,1580192920
2023-06-30,12.7000,14.1400,12.4800,13.0300,1238035250
2023-05-31,13.9100,15.2000,12.2900,12.7400,1263991490
2023-04-28,14.1800,15.3400,13.6600,13.9100,1179548470
2023-03-31,15.0800,15.2400,13.9200,14.1300,1304465470
2023-02-28,15.7000,15.9500,14.7200,15.0900,1351343320
2023-01-31,15.1300,16.6300,15.1300,15.7300,1268885180
2022-12-30,16.7500,16.8600,14.7800,15.1300,1587941070
2022-11-30,13.6600,17.9600,12.8800,16.6500,2708291240
2022-10-31,17.8000,19.0000,13.8000,13.8000,1371018880
2022-09-30,17.2600,19.0500,16.7500,18.0000,1626549840
2022-08-31,16.6600,17.4100,14.8300,17.3000,1634682960
2022-07-29,17.4700,18.0800,15.4800,16.6700,1963418360
2022-06-30,15.5100,17.7800,14.5000,17.4600,2560230470
2022-05-31,18.1200,18.3500,15.2400,15.5100,2129076310
2022-04-29,17.5300,19.8800,16.4000,18.1200,2277617050
2022-03-31,15.8200,18.1800,13.6200,17.7000,2266010260
2022-02-28,15.7000,16.7500,15.1100,15.8200,1275294300
2022-01-28,15.6300,17.0800,14.8800,15.7000,1578729400
2021-12-31,13.7500,16.0200,13.7400,15.6300,1837419470
2021-11-30,12.5600,15.2000,12.0300,13.8500,2139532700
2021-10-29,14.0300,14.5800,12.2500,12.5600,1689046430
2021-09-30,11.2800,14.5500,11.2800,14.0300,2224780420
2021-08-31,9.9500,12.8300,9.7600,11.3900,2674209340
2021-07-30,12.0700,12.6000,9.7700,10.0100,1491971760
2021-06-30,13.5500,13.6200,11.9800,12.0400,938000340
2021-05-31,14.0000,14.0700,13.0300,13.5200,874908980
2021-04-30,14.2400,14.5800,13.9000,14.0000,902711550
2021-03-31,15.6900,16.6400,14.0900,14.2300,1618421020
2021-02-26,13.8200,16.3000,13.3100,15.5400,1538739380
2021-01-29,15.8200,16.4000,13.7700,13.8100,2194948840
2020-12-31,17.2000,17.7600,15.3700,15.8200,1452650050
2020-11-30,15.4100,18.0100,15.3400,17.2200,1724835770
2020-10-30,15.8900,16.7600,15.2200,15.3600,1066738970
2020-09-30,16.1300,17.3800,15.7300,15.8900,1711686470
2020-08-31,15.7500,17.7800,15.5900,16.1000,2119616940
2020-07-31,14.8100,18.7000,14.7100,15.6000,2915376880
2020-06-30,14.4800,15.7800,14.1500,14.7800,1247858920
2020-05-29,16.2400,16.2400,14.2900,14.3600,936616720
2020-04-30,14.9000,16.6600,14.5800,16.2400,1127094710
2020-03-31,16.4100,17.3500,13.4000,14.8700,2010594420
2020-02-28,13.9000,16.4700,13.8000,16.1900,2104252470
2020-01-31,16.1800,16.7800,15.2300,15.3300,1440522510
2019-12-31,14.5000,16.4600,14.5000,16.1800,1576858110
2019-11-29,14.4000,15.1500,13.8400,14.4300,1334653720
2019-10-31,14.3000,16.4400,14.2800,14.4100,1487473450
2019-09-30,13.3600,15.0300,13.1700,14.3000,1604383560
2019-08-30,14.1000,14.7000,13.1700,13.4500,1389707200
2019-07-31,12.8900,14.8500,12.8400,14.2100,1932410580
2019-06-28,12.2200,13.2400,12.0600,12.7600,1004716710
