,1. open,2. high,3. low,4. close,5. volume
2023-10-25,14.8000,15.3000,14.3500,14.8200,229899910
2023-09-28,14.3500,15.0800,14.3400,14.8000,348057000
2023-08-31,15.4200,15.6000,13.8400,14.3600,459644210
2023-07-31,14.1800,15.6500,14.0400,15.4900,459112070
2023-06-30,13.4000,14.3700,13.3900,14.1700,392109470
2023-05-31,14.1200,14.3400,13.0900,13.4200,419505230
2023-04-28,14.3300,14.5600,13.7200,14.1200,318966790
2023-03-31,15.0100,15.4200,13.8500,14.3600,443512260
2023-02-28,15.0600,15.2300,14.6900,15.0300,357747030
2023-01-31,14.4100,15.2000,14.1900,15.0200,284555850
2022-12-30,15.4500,15.5300,14.3300,14.4100,356360930
2022-11-30,13.8100,15.4000,13.7700,15.1800,489851860
2022-10-31,14.3700,14.9300,13.7200,13.7500,273002380
2022-09-30,15.4500,15.7200,14.2500,14.3000,322351400
2022-08-31,16.1800,16.6200,15.2100,15.4700,567496190
2022-07-29,17.8000,19.2900,15.9200,16.1900,893789660
2022-06-30,17.4700,19.0100,17.0300,17.8100,1003109670
2022-05-31,15.9500,18.0000,15.3100,17.1900,859909160
2022-04-29,16.9000,17.2300,14.6300,15.9500,542767510
2022-03-31,18.2100,18.7600,16.5000,17.0000,737059220
2022-02-28,18.6600,19.2600,18.0100,18.1100,524685310
2022-01-28,20.6300,21.0600,18.6000,18.6600,677973800
2021-12-31,20.0700,22.1400,19.9500,20.6300,885045320
2021-11-30,20.3800,23.4500,19.7800,19.9500,1412128340
2021-10-29,19.0800,21.3300,19.0800,20.2800,684286340
2021-09-30,19.1800,21.8000,19.0300,19.0800,967960190
2021-08-31,18.3400,19.9900,18.1800,19.3200,925960500
2021-07-30,22.0300,22.2500,18.0300,18.3400,959697580
2021-06-30,20.2700,23.1700,19.6200,21.9700,1239391560
2021-05-31,20.0600,20.9200,19.8200,20.2800,621828730
2021-04-30,19.7000,21.4800,19.3400,20.0600,636817820
2021-03-31,21.2900,21.3800,19.6200,19.6700,711305540
2021-02-26,21.7400,22.9700,20.6800,21.2500,753234410
2021-01-29,24.4400,27.3200,21.7000,21.9400,1925085920
2020-12-31,26.0900,26.7900,23.1000,24.4400,1690321250
2020-11-30,23.4800,28.8000,23.0500,26.5100,1985171640
2020-10-30,19.1300,24.0200,19.1300,23.1500,828342370
2020-09-30,18.5900,20.6000,18.5200,19.1300,1065908200
2020-08-31,18.2600,19.5800,18.0100,18.6600,929284170
2020-07-31,16.9800,21.1600,16.9000,18.1800,1326686610
2020-06-30,17.9900,19.2000,16.9300,16.9900,773662910
2020-05-29,18.9000,20.8700,17.8700,17.9200,439672160
2020-04-30,20.5500,21.0100,17.6000,18.9000,461712530
2020-03-31,22.3200,24.0000,17.4600,20.5000,667732130
2020-02-28,20.4000,24.3200,20.3300,22.2100,591268770
2020-01-31,23.8500,25.3900,22.5000,22.6100,471155210
2019-12-31,23.2700,24.2800,22.5700,23.8500,416144690
2019-11-29,23.5400,24.1200,22.4900,23.2500,368234680
2019-10-31,23.7800,24.6000,22.9000,23.5000,264958330
2019-09-30,24.9700,26.3200,23.5700,23.7800,518111710
2019-08-30,24.9000,26.1800,23.1700,25.0800,553697210
2019-07-31,25.7800,27.4800,23.0400,24.8400,516349030
2019-06-28,24.4500,26.0600,23.9000,25.5000,355101000
2019-05-31,27.3800,27.3800,22.6900,23.9500,563843840
2019-04-30,26.2400,30.3000,26.1700,27.3800,1115474450
2019-03-29,28.5000,29.2500,25.0100,26.0700,915891480
2019-02-28,26.8900,29.4000,26.0600,28.3200,493079010
2019-01-31,26.6700,26.9500,24.2300,26.6000,684418020
2018-12-31,25.2500,27.8800,24.1300,26.6700,468649130
2018-11-30,27.2700,28.1900,24.4700,24.8500,382917730
2018-10-31,33.2800,33.2800,26.5100,27.1100,405206550
2018-09-28,29.0000,33.2800,27.9300,33.2800,266298780
2018-08-31,32.0300,32.1800,27.5000,29.1500,286855800
2018-07-31,35.0000,35.6300,31.0600,31.8800,331707530
2018-06-29,36.2600,36.9800,33.8400,34.9900,333037570
2018-05-31,31.9300,36.6800,31.9300,36.2500,327871670
2018-04-30,34.0200,34.3800,30.0100,31.9300,360345210
2018-03-30,33.5300,37.6600,32.0000,34.0100,537326350
2018-02-28,34.5800,34.9400,30.6700,33.6400,394951780
2018-01-31,32.0400,35.8800,31.3300,34.3900,718489220
2017-12-29,30.9800,32.5200,30.5500,32.0400,414236420
2017-11-30,31.5400,34.2300,30.3600,30.8800,773512540
2017-10-31,30.1900,33.6500,29.9400,31.4900,490152550
2017-09-29,29.7700,30.8500,28.7600,30.1900,433714590
2017-08-31,30.1400,31.0500,28.4300,29.7300,529222130
2017-07-31,30.9300,32.6600,29.7800,30.1400,606326530
2017-06-30,29.9300,32.8400,28.7000,31.0500,885745320
2017-05-31,27.2500,30.1200,26.7000,30.0700,559706820
2017-04-28,25.3800,28.1500,25.1600,27.2500,841435860
2017-03-31,25.8000,26.0500,24.0400,25.3800,661286560
2017-02-28,25.3600,26.3300,24.5300,25.7800,488893920
2017-01-31,23.4500,25.7600,23.4500,25.3600,458625950
2016-12-30,25.4400,26.1700,22.5600,23.4500,717021440
2016-11-30,23.7500,26.5500,23.0300,25.2500,768787310
2016-10-31,21.8500,23.9700,21.8500,23.6800,223731610
2016-09-30,22.1000,22.2300,20.9300,21.8500,285960340
2016-08-31,23.1800,24.3500,22.0000,22.0800,450495260
2016-07-29,20.3500,24.3600,19.6000,23.2300,563782110
2016-06-30,20.2900,20.6800,19.8800,20.2900,173888220
2016-05-31,20.3400,20.6400,19.5100,20.2900,241703920
2016-04-29,20.0500,21.0400,19.4600,20.3400,260390560
2016-03-31,18.3200,20.2200,18.1000,20.0600,423238590
2016-02-29,18.6500,19.0300,17.6600,18.3300,179226890
2016-01-29,21.2200,21.2200,17.6000,18.6200,319930850
2015-12-31,19.0500,22.1000,19.0100,21.2200,491760160
2015-11-30,17.7700,21.4700,17.7700,19.1300,512844380
2015-10-30,16.8000,18.0700,16.8000,17.7700,34063100
2015-09-30,16.8600,18.9800,16.0400,16.8000,601220990
2015-08-31,19.2600,20.4300,14.0000,17.3000,1045753660
2015-07-31,22.1000,27.3600,18.7500,19.2600,2694699590
2015-06-30,24.0000,26.8700,19.2500,22.6000,2369944800
2015-05-29,27.0000,27.4800,23.6200,23.9800,1836032070
2015-04-30,24.8600,29.1800,24.7800,27.0000,2014537490
2015-03-31,24.4800,25.9800,22.2200,24.8600,1137581790
2015-02-27,22.2500,25.1200,21.6600,24.3600,545422270
2015-01-30,21.4700,25.9800,21.4700,22.6500,1232530840
2014-12-31,19.6000,24.3000,19.3000,21.4700,1360742240
2014-11-28,17.9200,20.7500,17.3100,19.7800,716226260
2014-10-31,18.0800,18.3500,16.7100,17.8600,398635210
2014-09-30,17.0500,18.8700,17.0000,18.0800,498736160
2014-08-29,16.1900,17.4900,15.7400,16.9300,499904740
2014-07-31,15.3600,18.0200,15.2700,16.2900,618021420
2014-06-30,14.6000,15.8600,14.2800,15.3000,328596890
2014-05-30,14.5200,15.2000,14.2300,14.6000,278979
2014-04-30,13.9000,15.1600,13.7200,14.5200,570648
2014-03-31,12.7000,14.1900,12.2200,13.8500,587266
2014-02-28,12.9800,14.1100,12.4000,12.7000,454782
2014-01-31,14.1400,14.1400,12.3700,12.9800,410030
2013-12-31,15.2000,16.1600,13.0000,14.1400,537466
2013-11-29,14.3400,15.7500,14.1500,15.3800,668872
2013-10-31,13.5300,14.8800,13.2200,14.3400,600846
2013-09-30,13.0700,14.6700,12.9700,13.5300,683821
2013-08-30,12.3500,14.8500,12.2400,13.0600,663866
2013-07-31,13.2000,13.6500,11.8300,12.2400,574461
2013-06-28,15.6300,15.7500,12.1500,13.2100,504295
2013-05-31,14.9000,16.4100,14.6000,15.6300,909878
2013-04-30,14.7600,16.0800,14.3800,14.9000,481647
2013-03-29,16.8100,16.9500,14.1700,14.8000,617984
2013-02-28,16.7100,19.0000,16.2000,16.8400,532002
2013-01-31,17.6400,17.9400,16.0000,16.8800,630674
2012-12-31,13.9600,17.7700,13.8800,17.6400,598289
2012-11-30,12.9900,14.1000,12.8000,14.0700,339143
2012-10-31,13.5400,13.9800,12.5300,12.9600,239871
2012-09-28,11.3900,13.6000,11.3700,13.5400,361483
