,1. open,2. high,3. low,4. close,5. volume
2023-10-25,15.8700,16.0900,14.0900,14.6000,594684380
2023-09-28,15.5500,17.1500,15.5500,15.8900,954072990
2023-08-31,17.6500,17.8800,15.0300,15.4900,1150730810
2023-07-31,16.7900,18.0300,16.3700,17.7500,1057246700
2023-06-30,14.6800,17.3300,14.6800,16.6300,1212957830
2023-05-31,16.4900,16.5800,14.6200,14.6800,882816450
2023-04-28,17.1300,17.8500,15.8200,16.4900,1196645310
2023-03-31,18.7600,19.4500,16.5400,17.0900,1602240350
2023-02-28,17.5400,19.7300,16.4000,18.7300,2207876600
2023-01-31,15.8000,17.5900,15.5100,17.5200,1024976960
2022-12-30,16.3000,17.0700,15.5000,15.8000,1441197450
2022-11-30,13.5400,16.4500,13.4300,15.9100,1821606240
2022-10-31,13.8800,15.0800,13.3000,13.5000,942218780
2022-09-30,15.7500,16.4600,13.7100,13.8800,1205152870
2022-08-31,17.0000,17.0900,15.2100,15.7500,1280636810
2022-07-29,19.3000,20.3800,16.9200,17.0400,1901356850
2022-06-30,16.8600,19.1900,16.4500,19.0600,2395255370
2022-05-31,16.5000,17.3000,15.4700,16.9500,1895801900
2022-04-29,17.3800,19.4300,14.5800,16.5000,2317714200
2022-03-31,19.6000,19.7600,16.2000,17.5200,2271739170
2022-02-28,20.1400,21.3800,19.5200,19.6100,1213843440
2022-01-28,22.8000,25.3100,20.0200,20.1400,2641291940
2021-12-31,21.8900,24.7200,21.8100,22.8000,2449598790
2021-11-30,22.8800,23.3000,21.4100,21.9000,2465918720
2021-10-29,26.1800,26.3800,22.4400,22.9600,1550107730
2021-09-30,26.2500,29.9300,24.9500,25.4400,3405945340
2021-08-31,24.8400,33.0700,24.4500,26.2300,5394093640
2021-07-30,29.2300,29.5100,24.0100,24.8200,3645436800
2021-06-30,30.1200,32.2500,26.3800,29.0700,3011388670
2021-05-31,30.8800,31.3000,27.4100,30.2900,2856222380
2021-04-30,33.7200,35.8800,30.3600,30.8800,2232424610
2021-03-31,41.8000,45.3600,33.1800,34.1500,2649506350
2021-02-26,40.1000,50.3000,39.3800,41.1100,1969193450
2021-01-29,34.9800,48.9000,34.3000,40.4600,2833086020
2020-12-31,30.8300,35.1600,30.5500,34.9800,1554396590
2020-11-30,26.7200,31.6900,24.9800,30.7100,1536767690
2020-10-30,24.8900,28.3400,23.7000,25.9500,1091059030
2020-09-30,22.3300,25.7600,21.9500,24.8900,1502244810
2020-08-31,21.1000,23.1500,19.8500,22.1400,1650342880
2020-07-31,18.7700,22.9900,18.7700,21.1100,2558779130
2020-06-30,18.6500,19.9600,18.1700,18.7600,1487484820
2020-05-29,19.6500,21.0300,18.1700,18.3300,1161208600
2020-04-30,17.3500,20.3000,17.0300,19.6500,1522473030
2020-03-31,17.5200,19.4200,14.5900,17.3000,2510503200
2020-02-28,14.4300,18.0900,14.3900,17.4300,1952387490
2020-01-31,17.0500,17.9500,15.8300,16.0300,1308604920
2019-12-31,14.5400,17.3500,14.5400,17.0500,1688658220
2019-11-29,13.4700,15.0700,13.4000,14.4800,1278938670
2019-10-31,14.2800,15.1500,13.2100,13.4700,1025948280
2019-09-30,13.5100,15.1300,13.4000,14.2800,1461626390
2019-08-30,14.1300,14.2900,12.7400,13.4700,1673629330
2019-07-31,13.3000,14.6900,12.3700,14.1200,1861029250
2019-06-28,12.1100,13.2900,11.6500,13.0800,1511838910
2019-05-31,12.2500,12.8400,11.1700,12.0700,1921910240
2019-04-30,13.0200,14.0600,11.8400,12.2500,3021646250
2019-03-29,10.5700,13.4900,10.3600,12.7800,3152216920
2019-02-28,9.2100,11.1600,9.2000,10.3900,1324095230
2019-01-31,8.3400,9.3400,7.7700,9.1200,1038947280
2018-12-31,8.1700,8.7400,8.0500,8.3400,993313960
2018-11-30,8.0300,8.2800,7.7200,8.0300,900731040
2018-10-31,8.8800,8.8800,7.4600,7.8700,1061742100
2018-09-28,8.9400,9.1100,8.0200,8.8800,1079536520
2018-08-31,9.3800,9.7100,8.7800,9.0000,1962308170
2018-07-31,8.9300,9.4500,7.7300,9.2500,1931064970
2018-06-29,8.0500,9.0900,7.9200,8.9700,2008007680
2018-05-31,8.7200,8.8500,7.9500,8.0900,1507429020
2018-04-30,7.9400,8.9400,7.8700,8.7200,1386350320
2018-03-30,8.1700,8.6700,7.5400,7.8600,1815673800
