,1. open,2. high,3. low,4. close,5. volume
2023-10-20,1526.5500,1558.0000,1488.6500,1523.0500,9117354
2023-09-29,1570.0000,1669.2500,1515.3500,1526.5500,12762967
2023-08-31,1652.6000,1666.4500,1557.7000,1571.9500,10375564
2023-07-31,1714.9000,1757.8000,1627.2000,1651.1000,9026316
2023-06-30,1622.0000,1708.6000,1580.0000,1701.7500,7156144
2023-05-31,1688.2500,1733.9500,1597.5500,1611.3500,4173340
2023-04-28,1604.3000,1715.8500,1602.5500,1688.0500,3204891
2023-03-31,1606.5000,1644.9500,1532.3000,1609.7500,3127825
2023-02-28,1616.2500,1681.3500,1577.1500,1601.2500,2099747
2023-01-31,1622.0500,1702.0000,1560.0500,1603.4500,3944497
2022-12-30,1618.0000,1669.8500,1583.0000,1627.3000,11778762
2022-11-30,1500.0000,1642.0000,1490.0000,1608.7500,9386380
2022-10-31,1410.0000,1498.0000,1384.0000,1496.4000,2755568
2022-09-30,1468.0000,1540.5500,1365.0500,1422.4000,6726823
2022-08-30,1435.2500,1513.5000,1413.4000,1486.2000,4928625
2022-07-29,1346.5000,1438.0000,1330.3000,1434.4500,6871693
2022-06-30,1383.8500,1401.4000,1271.7500,1347.5000,5285223
2022-05-31,1363.0000,1420.5500,1278.3000,1387.4500,7559916
2022-04-29,1474.0000,1721.8500,1323.9000,1384.7500,13011549
2022-03-31,1385.0000,1517.8000,1292.0000,1469.9500,7883941
2022-02-28,1500.0000,1539.4000,1408.1000,1426.7000,6754893
2022-01-31,1479.8000,1576.0000,1435.2500,1485.5500,5172458
2021-12-31,1490.5500,1555.6000,1414.0000,1479.8000,6742415
2021-11-30,1583.0000,1622.2000,1461.5000,1493.6000,6052933
2021-10-29,1582.0000,1724.3000,1560.0500,1582.3500,5239421
2021-09-30,1580.0000,1635.6000,1528.7000,1595.5000,6505770
2021-08-31,1437.8000,1583.0000,1413.4000,1581.5000,5016079
2021-07-30,1501.6000,1545.1000,1404.1500,1425.8000,4797455
2021-06-30,1517.2000,1526.3500,1451.0000,1498.0500,4416797
2021-05-31,1399.0000,1520.6500,1377.5500,1516.4000,6608154
2021-04-30,1502.0000,1503.4500,1353.1000,1412.2000,6740055
2021-03-31,1568.3000,1595.7000,1450.1000,1493.5500,7216172
2021-02-26,1400.0000,1650.0000,1400.0000,1534.3500,8602204
2021-01-29,1438.0000,1511.0000,1342.0000,1390.8000,7724431
2020-12-31,1440.0000,1448.8500,1345.4500,1436.7500,8821398
2020-11-27,1195.0000,1464.0000,1177.2500,1440.7000,9784344
2020-10-30,1085.0000,1250.5000,1085.0000,1183.4500,10715104
2020-09-30,1122.0000,1145.7500,1025.1500,1079.2000,7964655
2020-08-31,1030.0000,1148.0000,994.0000,1115.2000,12671378
2020-07-31,1065.7000,1157.8500,1020.6000,1032.6500,15615887
2020-06-30,970.0000,1082.0000,928.0000,1065.7000,18633917
2020-05-29,964.0000,964.0000,826.0000,951.2500,19576107
2020-04-30,869.9000,1018.9000,810.0000,1001.7500,16827174
2020-03-31,1195.0000,1200.0500,738.9000,862.0000,32057730
2020-02-28,1199.1000,1263.8000,1170.1000,1177.6000,6800220
2020-01-31,1275.0000,1303.8000,1211.5000,1225.7000,17275972
2019-12-31,1275.0000,1304.1000,1213.1500,1271.8000,3151695
2019-11-29,1240.0000,1287.5500,1228.2000,1274.2500,4441618
2019-10-31,1234.0000,1263.9000,1181.0000,1229.9500,6038473
2019-09-30,2225.0000,2288.5000,1084.4000,1227.3500,8255987
2019-08-30,2233.0000,2288.0000,2139.5000,2228.9000,8574456
2019-07-31,2451.1000,2502.9000,2223.1000,2251.8000,8272334
2019-06-28,2434.5000,2494.0000,2403.4000,2446.4000,4404538
2019-05-31,2321.0000,2463.9500,2271.4000,2424.9000,5480060
2019-04-30,2325.0000,2332.3500,2237.0000,2315.5000,10487592
2019-03-29,2084.0000,2327.0000,2070.2500,2316.5000,6275928
2019-02-28,2082.0000,2154.3500,2076.0500,2082.1500,3745996
2019-01-31,2123.0000,2173.0000,2023.0000,2081.1500,11166344
2018-12-31,2122.2500,2158.1500,2032.1500,2122.4500,4253296
2018-11-30,1925.0000,2137.5000,1896.8000,2117.1500,9896176
2018-10-31,2015.0000,2052.0000,1884.4000,1911.8500,12430648
2018-09-28,2067.0000,2080.0000,1913.8000,2005.6500,4295824
2018-08-31,2179.0000,2179.0000,2055.0000,2062.2500,3503374
2018-07-31,2086.2500,2219.0500,2065.0000,2181.0500,3028330
2018-06-29,2124.0000,2170.0500,2009.7500,2108.0500,4985242
2018-05-31,1948.3500,2150.0000,1947.3000,2136.1500,4745822
2018-04-30,1892.0000,1984.0000,1880.2500,1944.6000,2911824
2018-03-28,1875.0000,1910.3000,1830.0000,1891.4500,4055748
2018-02-28,2007.0000,2014.0000,1837.0000,1883.8000,2808536
2018-01-31,1873.0000,2011.9000,1832.9500,2006.3500,5876520
2017-12-29,1855.0000,1905.0000,1797.4500,1873.5500,11375736
2017-11-30,1810.0000,1875.0000,1791.3000,1852.0500,6406234
2017-10-31,1806.0000,1876.9500,1685.0000,1808.8000,3790634
2017-09-29,1761.0000,1868.0000,1740.0000,1803.0500,3135572
2017-08-31,1784.0000,1810.0000,1732.8000,1775.0000,2221140
2017-07-31,1653.0000,1797.8500,1646.0000,1783.3500,4560358
2017-06-30,1630.0000,1715.6000,1623.0000,1652.2500,2965644
2017-05-31,1551.0000,1648.0000,1524.3500,1633.3500,3578184
2017-04-28,1445.0000,1572.3000,1425.0000,1542.1500,6049258
2017-03-31,1396.0000,1478.0000,1369.2500,1442.3000,15266784
2017-02-28,1288.0000,1450.0000,1280.5500,1389.2000,14420040
2017-01-31,1205.0000,1300.0000,1181.7500,1286.9500,16223524
2016-12-30,1209.8000,1210.1500,1165.0000,1204.2000,3742818
2016-11-30,1253.7000,1288.0000,1159.3000,1199.6000,6178108
2016-10-28,1275.5500,1299.9000,1225.0000,1259.4000,2767394
2016-09-30,1290.7500,1318.2000,1265.5000,1271.7000,4267518
2016-08-31,1246.5500,1294.7000,1215.9500,1290.7500,4741286
2016-07-29,1178.9000,1250.0000,1161.0000,1246.5500,5117860
2016-06-30,1181.0000,1192.3000,1144.2500,1175.9000,5467652
2016-05-31,1130.0000,1194.8000,1110.0500,1181.3500,3063080
2016-04-29,1066.0000,1136.0000,1043.0000,1133.4500,3547508
2016-03-31,980.0000,1078.7000,972.5000,1071.2000,8305090
2016-02-29,1055.0000,1066.9500,928.8000,972.5500,4422650
2016-01-29,1084.9000,1090.0000,1008.3500,1048.9500,4697326
2015-12-31,1073.0000,1090.9000,1040.0000,1082.7500,2125520
2015-11-30,1097.0500,1097.9000,1040.5000,1075.9500,2039378
2015-10-30,1070.0000,1124.4500,1060.2000,1097.0500,6273096
2015-09-30,1027.4500,1074.0000,977.6000,1068.9000,3339196
2015-08-31,1111.2000,1117.9000,1007.0500,1028.1500,3451576
2015-07-31,1063.0000,1127.9000,1055.0500,1111.2000,6654718
2015-06-30,1051.2500,1072.1000,990.2500,1067.4500,4266276
2015-05-29,995.0000,1054.5000,944.7000,1051.1000,4624640
2015-04-30,1026.0000,1058.0000,979.3500,989.2000,4212654
2015-03-31,1082.0000,1105.0000,1002.5500,1022.8500,8467250
2015-02-27,1068.0000,1093.1500,1030.5500,1054.2000,6605974
2015-01-30,952.0000,1099.7000,932.0000,1076.0000,10331042
2014-12-31,957.1500,973.8500,916.4500,952.0000,5962368
2014-11-28,912.0000,965.4500,893.3500,957.4000,7266672
2014-10-31,868.2500,914.1500,854.0000,912.2000,8520594
2014-09-30,846.0000,880.0000,839.0000,871.5000,11189728
2014-08-28,829.0000,853.0000,792.0000,842.9500,5236318
2014-07-31,825.2000,861.0000,808.5500,833.6500,10465808
2014-06-30,795.0000,856.0000,795.0000,821.3500,6919304
2014-05-30,724.2500,852.3500,712.2000,794.1000,8306342
2014-04-30,753.0000,754.0000,707.5000,718.2500,6441232
2014-03-31,666.0000,760.5000,661.1500,748.8500,10740502
2014-02-28,632.5000,682.1500,618.0000,667.5000,4873074
2014-01-31,666.7500,685.0000,625.2000,628.9000,10185498
2013-12-31,661.0000,714.8000,650.0000,665.7500,10518144
2013-11-29,679.4500,688.0000,629.0500,661.2000,5696154
2013-10-31,597.0000,688.0000,588.9500,679.4500,8358038
2013-09-30,596.0000,689.9000,558.4000,593.7000,13746536
2013-08-30,618.0000,637.8000,528.0000,593.8000,14489586
2013-07-31,670.0000,696.9000,605.1000,609.7000,6677888
2013-06-28,700.9000,701.0000,620.0000,668.5000,6613928
2013-05-31,682.2000,727.0000,668.3500,700.4500,6236720
2013-04-30,629.7500,704.0000,612.4500,682.1500,8520616
2013-03-28,626.0000,659.5000,602.0000,624.1000,8699746
2013-02-28,645.0000,680.7500,618.0000,625.6000,6602238
2013-01-31,682.9500,690.0000,641.3000,643.4000,6397250
2012-12-31,700.0000,700.0000,670.0000,678.8000,6531244
2012-11-30,636.0000,705.0000,628.0000,703.6500,6256180
2012-10-31,630.0000,644.9000,604.5000,634.5500,6012914
2012-09-28,595.0000,639.2500,583.5500,628.7000,6668172
2012-08-31,585.1500,609.7000,577.3000,595.0500,8927572
2012-07-31,565.0000,593.5500,560.2500,587.8500,5824262
2012-06-29,508.0500,565.0000,485.1000,563.5000,6042858
2012-05-31,542.0000,556.9500,482.3000,505.9500,5839266
2012-04-30,518.2000,557.7000,515.7000,542.2000,4581032
2012-03-30,513.0500,533.0000,493.2000,520.0500,8688932
2012-02-29,491.0500,540.0000,481.8000,517.8000,10266992
2012-01-31,431.8000,501.0500,419.3500,490.9000,6763882
2011-12-30,456.0000,470.0500,400.4500,427.0500,10169124
2011-11-30,485.0000,492.4000,411.2500,441.4500,10935898
2011-10-31,465.0000,496.9000,437.0000,489.0500,9869934
2011-09-30,480.3000,497.4000,438.8000,467.2500,14393042
2011-08-30,490.7500,495.6500,435.5000,472.2000,10746532
2011-07-29,2527.0000,2582.5000,481.7500,487.4000,12180510
2011-06-30,2384.1000,2515.0000,2270.0000,2502.6000,8805020
2011-05-31,2300.0000,2400.0000,2210.0000,2388.3000,20668880
2011-04-29,2346.1000,2440.0000,2275.0000,2292.5000,15257600
2011-03-31,2062.0000,2390.0000,2060.0000,2342.9500,17749330
2011-02-28,2059.8000,2245.0000,1980.0000,2049.7000,17814080
2011-01-31,2369.0000,2398.8500,1997.0000,2042.8500,23007170
2010-12-31,2298.0000,2421.0000,2148.7000,2346.5000,13967100
2010-11-30,2300.0000,2417.9500,2258.1000,2289.2000,8363950
2010-10-29,2482.0000,2518.0000,2238.1000,2278.1000,13813570
2010-09-30,2140.0000,2503.9000,2122.0000,2480.8000,19497780
2010-08-31,2127.4500,2240.5000,2049.0000,2132.4500,11581570
2010-07-30,1910.0000,2134.0000,1896.6000,2127.4500,16273230
