,1. open,2. high,3. low,4. close,5. volume
2023-10-20,953.0000,962.0000,925.0000,932.4500,7122873
2023-09-29,958.0000,997.4000,934.6000,952.0500,5493885
2023-08-31,999.0500,1003.5000,946.3500,958.2000,8585667
2023-07-31,935.9000,1008.7000,935.7000,998.0500,7218546
2023-06-30,952.3500,954.0000,915.0000,934.3500,4079529
2023-05-31,924.7000,958.0000,911.5500,948.4500,5087937
2023-04-28,877.6000,920.0000,864.4500,917.7000,3734903
2023-03-31,861.5500,880.9000,810.5000,877.2000,4143418
2023-02-28,842.9000,877.8000,823.5500,854.6500,11539501
2023-01-31,892.3000,907.8500,796.1000,831.6500,8199721
2022-12-30,953.0000,957.0000,875.3000,890.9500,7136252
2022-11-30,920.2000,958.0000,891.5500,953.4000,15895929
2022-10-31,860.0000,942.7000,846.0500,908.5500,11935182
2022-09-30,865.0000,936.3500,837.2500,862.8000,19525026
2022-08-30,819.0000,890.5000,808.5000,887.6000,15190178
2022-07-29,702.0000,822.7500,694.3000,818.5000,13019113
2022-06-30,746.2000,757.2000,670.3500,706.8500,6803973
2022-05-31,732.0000,756.6000,675.0000,751.5000,12033175
2022-04-29,726.4000,777.9500,724.1000,743.5500,11526037
2022-03-31,717.9500,737.7500,642.0000,730.2500,13499122
2022-02-28,800.0000,818.7000,702.6000,742.4500,14498963
2022-01-31,743.9000,836.0000,743.1000,789.2500,9121650
2021-12-31,715.6000,769.6500,698.1500,740.2500,19769454
2021-11-30,808.0000,809.7500,710.8000,714.3000,8220712
2021-10-29,696.0000,859.7000,688.3500,802.3000,17928656
2021-09-30,726.0000,735.0000,694.2000,700.8000,26596025
2021-08-31,682.7000,719.9000,674.0000,718.8500,5626175
2021-07-30,632.9500,693.0000,630.0000,682.7000,12401300
2021-06-30,663.3500,664.6500,616.4000,630.8500,11375527
2021-05-31,597.4000,664.9000,584.7500,662.2000,15025683
2021-04-30,587.7000,628.4500,531.0000,600.4000,23400530
2021-03-31,606.0000,637.7500,557.2000,581.2500,23403821
2021-02-26,550.2000,679.3000,550.2000,597.6000,27943347
2021-01-29,534.8000,561.0000,512.1000,537.0000,14585900
2020-12-31,483.0000,538.4000,472.2000,534.8000,24696353
2020-11-27,417.9500,499.0000,407.2000,472.8000,30406414
2020-10-30,357.5000,428.2500,357.5000,392.5500,21890828
2020-09-30,394.1500,399.6000,334.0000,354.9000,22528566
2020-08-31,347.0000,422.0500,340.6000,395.0000,48574402
2020-07-31,355.0000,395.5000,340.5000,346.9000,39089386
2020-06-30,338.2000,380.0000,323.2000,351.4500,40052156
2020-05-29,361.4000,361.4000,285.7000,332.1000,36284940
2020-04-30,320.0000,392.8000,281.6000,379.9000,38475089
2020-03-31,505.2000,520.0000,269.0000,324.5000,38574143
2020-02-28,504.7500,550.4500,493.4000,496.0500,36184348
2020-01-31,539.2000,547.4500,515.0000,525.5500,27811073
2019-12-31,514.0000,552.4000,504.8000,538.7500,10346026
2019-11-29,466.9000,520.0000,460.4000,511.9500,16904598
