,1. open,2. high,3. low,4. close,5. volume
2023-10-24,17.0300,18.0000,16.2100,16.7800,150445860
2023-09-29,17.5200,18.1800,16.7200,17.1100,135484684
2023-08-31,16.7200,17.5850,16.4350,17.3700,162253839
2023-07-31,16.1900,18.1400,15.3301,16.6600,248026220
2023-06-30,15.7900,16.2550,15.1150,16.0700,214356561
2023-05-31,15.5000,16.0100,14.9800,15.9600,220397538
2023-04-28,17.2100,17.8000,14.7120,15.5400,274311954
2023-03-31,18.0900,18.3400,16.5900,17.4400,202780320
2023-02-28,18.8800,19.5900,17.9250,17.9400,145685967
2023-01-31,18.1800,19.1100,17.4650,18.8000,159890015
2022-12-30,20.4000,20.5700,17.6900,18.0100,160969127
2022-11-30,19.1900,20.3600,18.0800,20.3500,129592391
2022-10-31,16.8700,18.8800,16.8150,18.7300,214744671
2022-09-30,18.3300,19.4100,16.3900,16.9700,255724891
2022-08-31,19.3600,20.6000,18.2750,18.3000,149204394
2022-07-29,18.6000,19.6000,17.6300,19.4900,200618614
2022-06-30,18.9200,19.6420,17.5200,18.5100,194636089
2022-05-31,19.8800,20.7900,17.9000,18.8600,234563693
2022-04-29,25.1200,25.1300,19.7500,19.8700,255717087
2022-03-31,22.3900,25.2050,22.0350,24.8900,227135575
2022-02-28,23.5100,23.8450,21.0400,22.4600,214197841
2022-01-31,25.3900,26.3900,21.7200,23.5700,238076567
2021-12-31,22.8500,25.5980,21.8850,25.3100,117980944
2021-11-30,22.5400,24.0899,22.1400,22.5800,125475684
2021-10-29,22.3400,24.2800,21.7300,22.2800,220018610
2021-09-30,23.6000,24.0800,22.0700,22.2500,136223890
2021-08-31,22.2900,24.1400,22.2100,23.8200,102875322
2021-07-30,21.1800,22.1350,20.5000,22.1200,117445705
2021-06-30,19.1700,21.5050,19.0800,21.1900,158617510
2021-05-28,18.2500,19.4778,17.8100,19.3400,100014813
2021-04-30,18.9200,19.5599,17.2400,18.0800,152802724
2021-03-31,17.4200,19.3700,17.3800,18.7200,214864988
2021-02-26,17.1900,18.1600,16.9400,17.1200,143908958
2021-01-29,17.3900,19.0733,16.8750,16.8800,186502254
2020-12-31,15.4900,17.0300,15.1700,16.9500,168842555
2020-11-30,14.3600,15.6000,14.1700,15.2200,147194254
2020-10-30,13.8400,16.6200,13.5700,14.2700,282084986
2020-09-30,12.5800,13.9400,12.2000,13.8100,173153376
2020-08-31,12.7900,13.0300,12.5200,12.6000,159145096
2020-07-31,9.5600,12.9850,9.5300,12.8500,301183680
2020-06-30,9.1600,9.7200,8.8400,9.6600,222063662
2020-05-29,9.0800,9.4100,8.3700,9.1000,198147259
2020-04-30,7.8700,9.5100,7.4600,9.2300,237102905
2020-03-31,10.1300,10.5400,6.7600,8.2100,439118767
2020-02-28,10.8800,11.4400,9.9900,10.0700,221874985
2020-01-31,10.3000,11.2700,9.9900,10.9600,332408801
2019-12-31,9.7200,10.3700,9.6500,10.3200,161843535
