,1. open,2. high,3. low,4. close,5. volume
2016-10-24,46.4800,46.4800,44.9100,45.5000,42327927
2016-09-30,45.1600,46.8600,44.6400,46.4800,21817863
2016-08-31,46.2000,47.0900,45.0300,45.2200,13041416
2016-07-29,46.8000,47.4600,45.6100,46.2500,20530857
2016-06-30,44.3700,46.8900,44.3000,46.8200,21360394
2016-05-31,44.0500,44.8900,43.4500,44.5200,23211994
2016-04-29,43.4100,44.5000,42.4400,44.0700,26488709
2016-03-31,40.8800,43.8900,40.6750,43.5700,37915613
2016-02-29,39.9000,41.4900,37.1400,40.6300,111120158
2016-01-29,39.0700,40.7400,36.5300,39.9000,35769093
2015-12-31,37.1500,39.6000,37.0900,39.2500,52631298
2015-11-30,32.8100,38.2800,30.3300,36.8800,43177687
2015-10-30,33.4100,34.1600,31.4200,32.7200,35390675
2015-09-30,32.3800,34.1100,31.1600,33.3400,26344064
2015-08-31,33.8200,35.6800,31.7400,32.7000,22183708
2015-07-31,32.2500,35.0950,32.0010,33.7800,25346818
2015-06-30,35.3900,35.6100,30.6400,32.1800,43699793
2015-05-29,36.0800,36.4200,34.6850,35.2900,20105735
2015-04-30,37.1000,37.1200,34.9400,36.0000,31572708
2015-03-31,38.4300,38.6500,35.5400,37.4300,29781589
2015-02-27,42.5100,42.8000,38.2900,38.7300,24644171
2015-01-30,40.3500,44.0000,39.9400,42.5400,23307574
2014-12-31,37.4000,42.0100,37.3800,40.4300,19034732
2014-11-28,39.1000,40.6714,37.7100,37.9900,17961218
2014-10-31,35.5800,39.9360,34.0500,39.6100,31376502
2014-09-30,37.3200,38.1400,35.1350,35.6300,14794857
2014-08-29,35.8600,37.7100,34.6000,37.3500,14395600
2014-07-31,36.4300,37.2200,35.0300,36.1000,25595800
2014-06-30,36.7900,38.4300,34.2600,36.4800,23203300
2014-05-30,37.5100,37.9500,36.3250,36.6000,14042100
2014-04-30,37.3200,37.9200,36.1000,36.9700,20154400
2014-03-31,34.0600,37.4100,33.6900,37.3500,17332067
2014-02-28,103.1200,104.9200,98.7500,102.6000,6912900
2014-01-31,95.8800,103.5100,93.5400,103.5000,6250000
2013-12-31,90.3600,96.7000,90.3010,95.8200,6578700
2013-11-29,100.4000,106.7440,89.7730,90.4800,8646200
2013-10-31,94.0200,101.5500,92.2700,100.5900,5401700
2013-09-30,89.0700,93.9900,86.1700,93.8600,5424800
2013-08-30,92.2100,93.9800,85.8025,88.8900,6099900
2013-07-31,91.7500,96.0700,89.0500,91.7700,4946450
2013-06-28,87.7400,91.7500,84.7200,91.3000,4963400
