,1. open,2. high,3. low,4. close,5. volume
2023-10-23,3038.0500,3114.0000,2949.0500,2958.4500,1854252
2023-09-29,2710.0000,3057.0000,2688.5500,3021.9500,2003026
2023-08-31,2679.9000,2767.0000,2586.7500,2706.0000,890032
2023-07-31,2477.0000,2687.9000,2419.9500,2679.9000,1366101
2023-06-30,2210.3500,2482.9500,2202.2000,2474.5000,3257981
2023-05-31,2366.3000,2416.0000,2168.6500,2206.4500,1812631
2023-04-28,2170.1500,2368.7500,2155.5500,2364.7500,1283093
2023-03-31,2104.0000,2246.0000,2104.0000,2164.7500,1903656
2023-02-28,2141.5500,2261.6000,2081.9500,2105.9500,2051205
2023-01-31,2088.0000,2297.3000,2058.1000,2125.1000,1291440
2022-12-30,2081.2000,2210.5000,2050.2500,2086.3000,1338802
2022-11-30,2030.0000,2095.0000,1970.1500,2077.3000,2271216
2022-10-31,1848.7000,2033.8000,1814.0000,2023.9500,2937191
2022-09-30,1905.0500,1995.0000,1798.0000,1848.7000,2507135
2022-08-30,1807.7000,1943.0000,1773.4500,1921.7500,2443518
2022-07-29,1566.9000,1832.0000,1535.0000,1807.6500,2732393
2022-06-30,1658.0000,1673.8000,1456.8000,1557.0500,2651445
2022-05-31,1673.0000,1685.7000,1502.3000,1653.5500,2208112
2022-04-29,1765.0000,1860.0000,1652.2000,1695.8000,1154870
2022-03-31,1807.0000,1826.3500,1595.0000,1767.4500,1781666
2022-02-28,1929.4000,2006.8000,1750.5500,1816.9000,1664207
2022-01-31,1893.0000,2078.2000,1850.8000,1908.8500,1754795
2021-12-31,1765.4000,1908.7500,1763.0000,1895.0000,2310003
2021-11-30,1779.4500,1982.9500,1735.2500,1763.9000,2396980
2021-10-29,1701.0000,1884.9000,1684.4000,1766.8000,2932156
2021-09-30,1678.0000,1810.0000,1657.2000,1703.1500,3059299
2021-08-31,1614.8500,1684.8000,1563.3000,1671.4000,2472912
2021-07-30,1504.8500,1647.0000,1475.8500,1601.4000,2693026
2021-06-30,1469.8500,1582.6500,1448.0000,1501.2500,3214079
2021-05-31,1336.0000,1499.8000,1320.6500,1465.5500,3688864
2021-04-30,1430.5000,1447.8000,1306.4000,1340.2000,2458399
2021-03-31,1450.0000,1565.0000,1360.5000,1418.3500,3666686
2021-02-26,1360.0000,1593.0000,1337.7500,1442.2500,5487445
2021-01-29,1281.0000,1395.7500,1281.0000,1334.6000,5012230
2020-12-31,1132.0000,1338.4000,1104.2000,1287.5500,6780048
2020-11-27,930.5000,1176.7500,920.5000,1115.8000,5720585
2020-10-30,905.1000,994.8500,876.2500,929.6000,5142775
2020-09-30,955.2500,970.8500,842.5000,902.4500,4597438
2020-08-31,913.0000,1024.9500,903.4000,945.3000,4386111
2020-07-31,945.0000,963.8000,896.5000,913.3500,5155457
2020-06-30,940.0000,995.0000,874.4000,944.0500,6190908
2020-05-29,884.0000,937.0000,791.5500,932.3000,4914728
