,1. open,2. high,3. low,4. close,5. volume
2023-10-20,2337.0000,2367.1499,2295.0000,2299.1499,5320325
2023-09-29,2408.0000,2489.7000,2325.6499,2346.5000,7358764
2023-08-31,2547.8500,2582.1500,2400.0000,2406.8999,7891449
2023-07-31,2327.5475,2632.0000,2327.5475,2547.8500,8978788
2023-06-30,2258.9937,2355.6254,2234.4255,2325.2684,3647741
2023-05-31,2224.3521,2313.1895,2200.0574,2255.9853,2844256
2023-04-28,2137.8394,2209.7662,2104.4741,2206.3020,2979991
2023-03-31,2135.1957,2210.2220,1987.3310,2125.0311,5639480
2023-02-28,2169.6549,2245.3194,2090.4352,2116.7354,4439065
2023-01-31,2330.9205,2374.7694,2097.7737,2145.8617,5195972
2022-12-30,2494.1915,2511.2388,2272.6680,2322.9894,2980445
2022-11-30,2353.8021,2501.1199,2286.3423,2490.9097,8936156
2022-10-31,2185.1525,2334.2023,2136.4720,2324.2201,9873865
2022-09-30,2360.2746,2396.2380,2109.0778,2167.5582,8030740
2022-08-30,2290.9004,2440.9530,2286.2967,2405.8556,7830784
2022-07-29,2351.9789,2362.5992,2155.9806,2287.0260,12371731
2022-06-30,2399.7022,2567.4402,2229.8218,2364.7871,5046878
2022-05-31,2511.9681,2557.0933,2160.5387,2401.1152,9397463
2022-04-29,2407.8612,2602.6743,2299.6519,2544.1483,4692654
2022-03-31,2141.4859,2450.4338,1988.2426,2401.1608,6526204
2022-02-28,2197.0035,2238.9380,2044.3072,2150.6021,11724907
2022-01-31,2158.2597,2339.6720,2101.3290,2175.4437,8304227
2021-12-31,2211.1336,2275.4028,2049.3211,2158.8522,6671512
2021-11-30,2307.4918,2372.1257,2105.2946,2194.0408,7724515
2021-10-29,2284.5190,2506.9542,2275.2661,2313.3262,13966442
2021-09-30,2073.9349,2338.3046,1941.7500,2294.5468,12091987
2021-08-31,1866.2679,2081.2278,1860.6158,2059.6224,5647303
2021-07-30,1927.2552,1962.7173,1838.3723,1855.5108,8584891
2021-06-30,1972.8362,2073.4790,1897.1718,1924.3381,10707303
2021-05-31,1790.1476,1997.8146,1738.0030,1969.5088,11393388
2021-04-30,1841.1983,1865.2651,1711.6572,1818.1799,10796371
2021-03-31,1927.5743,2033.8236,1798.6713,1826.1566,10190776
2021-02-26,1682.1207,1962.0335,1682.1207,1899.6788,17160448
2021-01-29,1810.6135,1932.4515,1668.2641,1680.2519,17634405
2020-12-31,1764.2121,1857.6987,1692.0118,1809.2461,10917366
2020-11-27,1853.7787,1910.1624,1672.8222,1759.2893,17749983
2020-10-30,2063.9070,2105.2946,1814.8070,1872.7860,10937428
2020-09-30,1909.8433,2159.4448,1864.5814,2036.3305,16941796
2020-08-31,1877.0250,2001.0053,1824.3790,1894.8472,17255541
2020-07-31,1566.1627,2004.3783,1557.7302,1884.2724,29362534
2020-06-30,1349.1972,1644.6531,1345.2316,1552.8074,22069670
2020-05-29,1314.5552,1472.1287,1270.4788,1335.7052,18400454
2020-04-30,1017.5496,1362.8711,952.4144,1337.3913,20734741
2020-03-31,1238.3439,1247.7791,798.3051,1014.1310,236781074
2020-02-28,1250.7419,1374.6765,1207.8958,1211.2232,9429177
2020-01-31,1382.1062,1467.2515,1283.0588,1286.9332,8458903
2019-12-31,1454.0330,1474.8179,1375.7249,1380.2830,10227740
2019-11-29,1330.8732,1444.0052,1297.5535,1413.8306,8139661
2019-10-31,1217.0120,1357.8572,1167.9668,1334.7932,7498719
2019-09-30,1130.4081,1217.9236,1069.5575,1214.8241,9080746
2019-08-30,1066.4124,1188.7518,998.8158,1138.0201,11172636
2019-07-31,1145.9056,1184.9230,1060.2134,1062.9483,8629280
2019-06-28,1217.0120,1251.6535,1137.7466,1141.3475,7115557
2019-05-31,1270.7975,1291.7648,1118.5571,1212.2260,19918793
2019-04-30,1247.5968,1286.2039,1204.7963,1268.7919,11611223
2019-03-29,1125.8500,1264.0515,1110.5348,1242.5829,14888897
2019-02-28,1124.9384,1204.1125,1099.5498,1122.7049,14134435
2019-01-31,1026.4835,1151.3754,985.6885,1118.6482,14305458
2018-12-31,1068.4636,1070.2412,962.0776,1021.9710,10224658
2018-11-30,972.1510,1081.1807,957.4739,1064.9538,17347728
2018-10-31,1146.9996,1148.6405,927.1170,967.5929,18318281
2018-09-28,1138.6127,1166.7817,1078.6281,1146.9996,9740608
2018-08-31,1089.3852,1211.3143,1062.9483,1131.2741,10034451
2018-07-31,887.0057,1084.8271,872.9212,1081.0439,11550307
2018-06-29,839.8750,944.2554,837.8694,886.9601,16770351
2018-05-31,883.1769,910.9813,826.9300,839.8750,11486693
2018-04-30,811.7971,921.3738,807.7860,877.9807,8721681
2018-03-28,866.8133,874.0607,803.1367,804.7776,6857925
2018-02-28,879.1658,885.4104,795.0233,868.2719,7248575
2018-01-31,840.5131,902.5032,827.0667,876.2030,12469760
2017-12-29,843.2480,854.1874,785.5425,839.6471,10772387
2017-11-30,862.3920,874.2430,795.8438,841.0601,10138495
2017-10-31,722.3217,873.5138,716.7608,857.6516,13018403
2017-09-29,1460.2321,1506.3600,711.0632,713.0231,15691448
2017-08-31,1480.3332,1517.8463,1394.7777,1452.6655,10337645
2017-07-31,1265.3278,1486.9424,1250.8330,1471.2170,19564785
2017-06-30,1219.7468,1316.3785,1192.9452,1258.2627,21715318
2017-05-31,1276.3584,1278.0904,1180.5472,1222.1170,12187028
2017-04-28,1214.2771,1335.5225,1214.2771,1271.5268,18784305
2017-03-31,1132.2314,1217.9236,1117.3264,1202.6083,2405259190
2017-02-28,952.8246,1145.4499,931.6751,1128.8128,23162293
2017-01-31,985.7796,1000.0465,924.4277,951.1837,11330155
2016-12-30,908.1097,988.8336,900.2697,984.6402,14351969
2016-11-30,958.1120,961.7585,849.6293,905.0102,10440229
2016-10-28,988.6513,1025.3896,951.0014,960.3911,14706099
2016-09-30,960.7558,1029.1272,914.4455,986.4634,22847870
2016-08-31,926.7067,978.6690,897.4893,964.4934,12636934
2016-07-29,887.4615,947.1726,884.4531,925.7495,12542245
2016-06-30,874.0607,907.0613,851.8172,883.7695,10633274
2016-05-31,894.6633,906.7879,843.8862,874.1975,9961351
2016-04-29,947.1726,975.4328,891.4271,895.7117,10807941
2016-03-31,881.9918,962.6246,879.7128,952.8702,18180506
2016-02-29,948.0842,948.9958,809.9739,881.1258,20987147
2016-01-29,920.7356,993.2094,891.7006,943.5717,36285797
2015-12-31,880.9890,928.4844,832.3085,923.1059,11443008
2015-11-30,862.4832,904.3265,829.5737,882.4476,8310823
2015-10-30,794.9321,887.9173,782.8988,864.0785,9638620
2015-09-30,777.2012,819.5458,752.3139,784.4485,17200994
2015-08-31,912.6678,923.6528,746.6163,781.0755,15448637
2015-07-31,913.8073,972.6979,897.3070,913.1236,19383977
2015-06-30,799.4903,924.1998,796.7554,912.0297,23504528
2015-05-29,790.3741,834.5876,782.0783,799.6270,13935962
2015-04-30,752.0404,860.3864,742.0583,786.5908,17086287
2015-03-31,792.9722,828.6621,726.3328,751.8126,16422653
2015-02-27,834.2685,859.7483,763.1166,780.0271,16760879
2015-01-30,807.2390,851.6804,757.6469,834.4508,19926707
2014-12-31,901.9562,904.0530,783.9472,812.3897,18485867
2014-11-28,913.4427,926.3877,878.9379,903.2781,9552585
2014-10-31,861.2981,914.0808,832.0807,910.8901,14466649
2014-09-30,914.4911,957.1093,836.9578,861.7994,12941683
2014-08-28,910.1609,932.8146,885.7295,910.9358,10648158
