,1. open,2. high,3. low,4. close,5. volume
2023-10-23,3531.0500,3680.0000,3401.7000,3409.0000,2758215
2023-09-29,3359.0500,3633.0500,3357.0500,3530.7500,1632903
2023-08-31,3355.3501,3487.7500,3345.0000,3357.0500,2134254
2023-07-31,3300.5000,3549.0000,3265.0000,3355.3501,1012376
2023-06-30,3310.0000,3339.8000,3156.2000,3300.5000,1984292
2023-05-31,3217.0000,3339.0000,3174.0500,3291.0000,750490
2023-04-28,3225.0000,3275.0000,3070.3000,3216.0000,1957145
2023-03-31,3326.5000,3404.0000,3096.1001,3205.8000,1400734
2023-02-28,3380.0000,3575.0000,3300.0500,3314.1499,1107799
2023-01-31,3265.0000,3457.9500,3200.0000,3357.4500,1615077
2022-12-30,3421.0000,3479.6499,3164.0000,3259.2500,1643242
2022-11-30,3209.0000,3428.0000,3168.0000,3392.3999,3839303
2022-10-31,3004.6001,3199.3000,2973.8501,3193.0500,4409532
2022-09-30,3189.6001,3268.7000,2926.0000,3004.6001,4503708
2022-08-30,3327.0500,3428.0000,3081.3000,3211.6001,3020461
2022-07-29,3262.0000,3332.4500,2953.0000,3300.8000,3861555
2022-06-30,3385.0000,3477.5000,3023.3501,3265.2500,2467335
2022-05-31,3550.1001,3550.1001,3155.0000,3364.8000,3556369
2022-04-29,3746.1499,3835.5000,3440.0000,3550.1001,2510240
2022-03-31,3560.1001,3778.0500,3351.0000,3738.8000,2234459
2022-02-28,3780.0000,3882.9500,3392.0500,3554.5500,3781610
2022-01-31,3744.0000,4045.5000,3626.2500,3737.8999,4059762
2021-12-31,3535.1499,3759.8000,3509.8501,3736.8501,2013929
2021-11-30,3438.0000,3575.0000,3407.5500,3532.0000,1732795
2021-10-29,3779.0000,3990.0000,3386.0000,3398.8000,4697020
2021-09-30,3790.0000,3981.5500,3706.0000,3774.5000,2614393
2021-08-31,3173.5500,3802.9500,3166.0500,3786.5500,2377544
2021-07-30,3359.0000,3373.8999,3133.2000,3167.5000,2894265
2021-06-30,3170.0000,3399.0000,3116.1499,3345.2500,4147717
2021-05-31,3034.7000,3218.0000,3004.8000,3158.9500,1487104
2021-04-30,3190.0000,3358.8000,3021.0000,3038.3999,3377869
2021-03-31,2930.0000,3205.0000,2900.0000,3177.6001,3093672
2021-02-26,3104.0000,3245.8000,2701.0000,2896.0500,3780459
2021-01-29,2879.0000,3345.2500,2877.3000,3112.8999,6356022
2020-12-31,2680.0000,2951.8999,2625.1001,2870.2000,3035676
2020-11-27,2665.0000,2743.8000,2600.0000,2679.1499,2612886
2020-10-30,2509.8000,2885.0000,2492.0000,2664.8501,4370785
2020-09-30,2265.0000,2554.0000,2241.5000,2491.5000,4232712
2020-08-31,2299.0000,2327.0000,2217.0500,2256.3501,2141484
2020-07-31,2085.0500,2357.1499,2081.5500,2282.4500,4433544
2020-06-30,1995.0000,2132.0500,1982.0000,2082.2000,5501416
2020-05-29,1960.0000,2030.0000,1867.0000,1971.5500,2336179
2020-04-30,1830.0000,2030.0000,1650.0000,2014.8500,2933547
2020-03-31,2025.1000,2147.0000,1504.4000,1823.0500,5405600
2020-02-28,2164.0000,2228.8501,1990.4000,2000.9500,2158846
2020-01-31,2170.0000,2259.9500,2072.3999,2079.3000,2460473
2019-12-31,2060.0000,2246.1499,1983.8500,2161.3000,3728749
2019-11-29,2270.0000,2274.2000,2036.0000,2052.7000,2341916
2019-10-31,2099.5000,2285.5000,1929.0000,2270.2000,2513926
2019-09-30,2259.0000,2296.0000,1975.0000,2099.2000,2349328
2019-08-30,2206.0000,2280.8501,2145.8999,2258.0500,2088400
2019-07-31,2239.6499,2259.8999,2060.0000,2205.3999,4300813
