Date,Open,High,Low,Close,Volume
10-Nov-23,4364.15,4418.03,4353.34,4415.24,2231546000
31-Oct-23,4201.27,4418.03,4197.74,4415.24,32208580000
30-Sep-23,4284.52,4393.57,4103.78,4193.8,79952900000
31-Aug-23,4530.6,4541.25,4238.63,4288.05,73482980000
31-Jul-23,4578.83,4584.62,4335.31,4507.66,86840820000
30-Jun-23,4450.48,4607.07,4385.05,4588.96,75063200000
31-May-23,4183.03,4458.48,4171.64,4450.38,87983140000
30-Apr-23,4166.79,4231.1,4048.28,4179.83,88929200000
31-Mar-23,4102.2,4170.06,4049.35,4169.48,70861260000
1-Mar-23,3963.34,4110.75,3808.86,4109.31,1.13095E+11
1-Feb-23,4070.07,4195.44,3943.08,3970.15,80392280000
1-Jan-23,3853.29,4094.21,3794.33,4076.6,80763810000
1-Dec-22,4087.14,4100.96,3764.49,3839.5,85249330000
31-Oct-22,3901.79,4080.11,3698.15,4080.11,92671910000
30-Sep-22,3609.78,3905.42,3491.58,3871.98,95823760000
31-Aug-22,3936.73,4119.28,3584.13,3585.62,94241020000
31-Jul-22,4112.38,4325.28,3954.53,3955,92252350000
30-Jun-22,3781,4140.15,3721.56,4130.29,81688320000
31-May-22,4149.78,4177.51,3636.87,3785.38,1.06117E+11
30-Apr-22,4130.61,4307.66,3810.32,4132.15,1.0886E+11
31-Mar-22,4540.32,4593.45,4124.28,4131.93,90367840000
1-Mar-22,4363.14,4637.3,4157.87,4530.41,1.23546E+11
1-Feb-22,4519.57,4595.31,4114.65,4373.94,92667710000
1-Jan-22,4778.14,4818.62,4222.62,4515.55,95562890000
1-Dec-21,4602.82,4808.93,4495.12,4766.18,92750180000
31-Oct-21,4610.62,4743.83,4560,4567,88268840000
30-Sep-21,4317.16,4608.08,4278.94,4605.38,80253600000
31-Aug-21,4528.8,4545.85,4305.91,4307.54,85528860000
31-Jul-21,4406.86,4537.36,4367.73,4522.68,80500760000
30-Jun-21,4300.73,4429.97,4233.13,4395.26,84255620000
31-May-21,4216.52,4302.43,4164.4,4297.5,1.02544E+11
30-Apr-21,4191.98,4238.04,4056.88,4204.11,88321860000
31-Mar-21,3992.78,4218.78,3992.78,4181.17,83124090000
1-Mar-21,3842.51,3994.41,3723.34,3972.89,1.22371E+11
1-Feb-21,3731.17,3950.43,3725.62,3811.15,99082320000
1-Jan-21,3764.61,3870.9,3662.71,3714.24,1.06118E+11
1-Dec-20,3645.87,3760.2,3633.4,3756.07,96375680000
31-Oct-20,3296.2,3645.99,3279.74,3621.63,1.01247E+11
30-Sep-20,3385.87,3549.85,3233.94,3269.96,89938980000
31-Aug-20,3507.44,3588.11,3209.45,3363,92310780000
31-Jul-20,3288.26,3514.77,3284.53,3500.31,82466520000
30-Jun-20,3105.92,3279.99,3101.17,3271.12,96928130000
31-May-20,3038.78,3233.13,2965.66,3100.29,1.31459E+11
30-Apr-20,2869.09,3068.67,2766.64,3044.31,1.07135E+11
31-Mar-20,2498.08,2954.86,2447.49,2912.43,1.23608E+11
1-Mar-20,2974.28,3136.72,2191.86,2584.59,1.62185E+11
1-Feb-20,3235.66,3393.52,2855.84,2954.22,84436590000
1-Jan-20,3244.67,3337.77,3214.64,3225.52,77287980000
1-Dec-19,3143.85,3247.93,3070.33,3230.78,72325540000
31-Oct-19,3050.72,3154.26,3050.72,3140.98,72410620000
30-Sep-19,2983.69,3050.1,2855.94,3037.56,77720640000
31-Aug-19,2909.01,3021.99,2891.85,2976.74,74178980000
31-Jul-19,2980.32,3013.59,2822.12,2926.46,80269220000
30-Jun-19,2971.41,3027.98,2952.22,2980.38,70599470000
31-May-19,2751.53,2964.15,2728.81,2941.76,71250630000
30-Apr-19,2952.33,2954.13,2750.52,2752.06,77250740000
31-Mar-19,2848.63,2949.52,2848.63,2945.83,70090370000
1-Mar-19,2798.22,2860.31,2722.27,2834.4,79159660000
1-Feb-19,2702.32,2813.49,2681.83,2784.49,70638770000
1-Jan-19,2476.96,2708.95,2443.96,2704.1,80859870000
1-Dec-18,2790.5,2800.18,2346.58,2506.85,84162180000
31-Oct-18,2717.58,2815.15,2631.09,2760.17,80620020000
30-Sep-18,2926.29,2939.86,2603.54,2711.74,91930980000
31-Aug-18,2896.96,2940.91,2864.12,2913.98,63031510000
31-Jul-18,2821.17,2916.5,2796.34,2901.52,69523070000
30-Jun-18,2704.95,2848.03,2698.95,2816.29,64898300000
31-May-18,2718.7,2791.47,2691.99,2718.37,77891360000
30-Apr-18,2642.96,2742.24,2594.62,2705.27,76011820000
31-Mar-18,2633.45,2717.49,2553.8,2648.05,70194700000
1-Mar-18,2715.22,2801.9,2585.89,2640.87,76803890000
1-Feb-18,2816.45,2835.96,2532.69,2713.83,79933970000
1-Jan-18,2683.73,2872.87,2682.36,2823.81,77318690000
1-Dec-17,2645.1,2694.97,2605.52,2673.61,65531700000
31-Oct-17,2583.21,2657.74,2557.45,2647.58,73416960000
30-Sep-17,2521.2,2582.98,2520.4,2575.26,71088550000
31-Aug-17,2474.42,2519.44,2446.55,2519.36,66624120000
31-Jul-17,2477.1,2490.87,2417.35,2471.65,70784900000
30-Jun-17,2431.39,2484.04,2407.7,2470.3,63348090000
31-May-17,2415.65,2453.82,2405.7,2423.41,81078810000
30-Apr-17,2388.5,2418.71,2352.72,2411.8,79719460000
31-Mar-17,2362.34,2398.16,2328.95,2384.2,65369860000
1-Mar-17,2380.13,2400.98,2322.25,2362.72,81664010000
1-Feb-17,2285.59,2371.54,2271.65,2363.64,69260940000
1-Jan-17,2251.57,2300.99,2245.13,2278.87,70576420000
1-Dec-16,2200.17,2277.53,2187.44,2238.83,75344550000
31-Oct-16,2128.68,2214.1,2083.79,2198.81,88445380000
30-Sep-16,2164.33,2169.6,2114.72,2126.15,72915530000
31-Aug-16,2171.33,2187.87,2119.12,2168.27,77023620000
31-Jul-16,2173.15,2193.81,2147.58,2170.95,75610310000
30-Jun-16,2099.34,2177.09,2074.02,2173.6,69530250000
31-May-16,2093.94,2120.55,1991.68,2098.86,86852700000
30-Apr-16,2067.17,2103.48,2025.91,2096.95,78883600000
31-Mar-16,2056.62,2111.05,2033.8,2065.3,81124990000
1-Mar-16,1937.09,2072.21,1937.09,2059.74,92639420000
1-Feb-16,1936.94,1962.96,1810.1,1932.23,93049560000
1-Jan-16,2038.2,2038.2,1812.29,1940.24,92409770000
1-Dec-15,2082.93,2104.27,1993.26,2043.94,83649260000
31-Oct-15,2080.76,2116.48,2019.39,2080.41,75943590000
30-Sep-15,1919.65,2094.32,1893.7,2079.36,85844900000
31-Aug-15,1970.09,2020.86,1871.91,1920.03,79989370000
31-Jul-15,2104.49,2112.66,1867.01,1972.18,84626790000
30-Jun-15,2067,2132.82,2044.02,2103.84,77920590000
31-May-15,2108.64,2129.87,2056.32,2063.11,73213980000
30-Apr-15,2087.38,2134.72,2067.93,2107.39,65187730000
31-Mar-15,2067.63,2125.92,2048.38,2085.51,72060940000
1-Mar-15,2105.23,2117.52,2039.69,2067.89,76675850000
1-Feb-15,1996.67,2119.59,1980.9,2104.5,68775560000
1-Jan-15,2058.9,2072.36,1988.12,1994.99,77330040000
1-Dec-14,2065.78,2093.55,1972.56,2058.9,80743820000
31-Oct-14,2018.21,2075.76,2001.01,2067.56,63600190000
30-Sep-14,1971.44,2018.19,1820.66,2018.05,93714040000
31-Aug-14,2004.07,2019.26,1964.04,1972.29,66706000000
31-Jul-14,1929.8,2005.04,1904.78,2003.37,58131140000
30-Jun-14,1962.29,1991.39,1930.67,1930.67,66524690000
31-May-14,1923.87,1968.17,1915.98,1960.23,63283380000
30-Apr-14,1884.39,1924.03,1859.79,1923.57,63623630000
31-Mar-14,1873.96,1897.28,1814.36,1883.95,71595810000
1-Mar-14,1857.68,1883.97,1834.44,1872.34,71885030000
1-Feb-14,1782.68,1867.92,1737.92,1859.45,69725590000
1-Jan-14,1845.86,1850.84,1770.45,1782.59,75871910000
1-Dec-13,1806.55,1849.44,1767.99,1848.36,64958820000
31-Oct-13,1758.7,1813.55,1746.2,1805.81,63628190000
30-Sep-13,1682.41,1775.22,1646.47,1756.54,76647400000
31-Aug-13,1635.95,1729.86,1633.41,1681.55,66174410000
31-Jul-13,1689.42,1709.67,1627.47,1632.97,64802810000
30-Jun-13,1609.78,1698.78,1604.57,1685.73,68106820000
31-May-13,1631.71,1654.19,1560.33,1606.28,74946790000
30-Apr-13,1597.55,1687.18,1581.28,1630.74,76447250000
31-Mar-13,1569.18,1597.57,1536.03,1597.57,77098000000
1-Mar-13,1514.68,1570.28,1501.48,1569.19,68527110000
1-Feb-13,1498.11,1530.94,1485.01,1514.68,69273480000
1-Jan-13,1426.19,1509.94,1426.19,1498.11,75848510000
1-Dec-12,1416.34,1448,1398.11,1426.19,66388180000
31-Oct-12,1412.2,1434.27,1343.35,1416.18,71489310000
30-Sep-12,1440.9,1470.96,1403.28,1412.16,71752320000
31-Aug-12,1406.54,1474.51,1396.56,1440.67,69784280000
31-Jul-12,1379.32,1426.68,1354.65,1406.58,70283810000
30-Jun-12,1362.33,1391.74,1325.41,1379.32,73103810000
31-May-12,1309.87,1363.46,1266.74,1362.16,81582440000
30-Apr-12,1397.86,1415.32,1291.98,1310.33,86920490000
31-Mar-12,1408.47,1422.38,1357.38,1397.91,74761710000
1-Mar-12,1365.9,1419.15,1340.03,1408.47,83899660000
1-Feb-12,1312.45,1378.04,1312.45,1365.68,78385710000
1-Jan-12,1258.86,1333.47,1258.86,1312.41,79567560000
1-Dec-11,1246.91,1269.37,1202.37,1257.6,74742430000
31-Oct-11,1251,1277.55,1158.66,1246.96,84275050000
30-Sep-11,1131.21,1292.66,1074.77,1253.3,98063670000
31-Aug-11,1219.12,1229.29,1114.22,1131.42,1.02787E+11
31-Jul-11,1292.59,1307.38,1101.54,1218.89,1.08419E+11
30-Jun-11,1320.64,1356.48,1282.86,1292.28,81102170000
31-May-11,1345.2,1345.2,1258.07,1320.64,86122730000
30-Apr-11,1365.21,1370.58,1311.8,1345.2,81708980000
31-Mar-11,1329.48,1364.56,1294.7,1363.61,77364810000
1-Mar-11,1328.64,1332.28,1249.05,1325.83,89507640000
1-Feb-11,1289.14,1344.07,1289.14,1327.22,59223660000
1-Jan-11,1257.62,1302.67,1257.62,1286.12,92164940000
1-Dec-10,1186.6,1262.6,1186.6,1257.64,80984530000
31-Oct-10,1185.71,1227.08,1173,1180.55,87151070000
30-Sep-10,1143.49,1196.14,1131.87,1183.26,89536270000
31-Aug-10,1049.72,1157.16,1049.72,1141.2,79589450000
31-Jul-10,1107.53,1129.24,1039.7,1049.33,85738250000
30-Jun-10,1031.1,1120.95,1010.91,1101.6,94778110000
31-May-10,1087.3,1131.23,1028.33,1030.71,1.10107E+11
30-Apr-10,1188.58,1205.13,1040.78,1089.41,1.27663E+11
31-Mar-10,1171.23,1219.8,1170.69,1186.69,1.16742E+11
1-Mar-10,1105.36,1180.69,1105.36,1169.43,1.03684E+11
1-Feb-10,1073.89,1112.42,1044.5,1104.49,84561340000
1-Jan-10,1116.56,1150.45,1071.59,1073.87,90947580000
1-Dec-09,1098.89,1130.38,1085.89,1115.1,89515330000
31-Oct-09,1036.18,1113.69,1029.38,1095.63,84981530000
30-Sep-09,1054.91,1101.36,1019.95,1036.19,1.13411E+11
31-Aug-09,1019.52,1080.15,991.97,1057.08,1.12295E+11
31-Jul-09,990.22,1039.47,978.51,1020.62,1.16059E+11
30-Jun-09,920.82,996.68,869.32,987.48,1.06636E+11
31-May-09,923.26,956.23,888.86,919.32,1.12653E+11
30-Apr-09,872.74,930.17,866.1,919.14,1.31615E+11
31-Mar-09,793.59,888.7,783.32,872.81,1.38855E+11
1-Mar-09,729.57,832.98,666.79,797.87,1.61844E+11
1-Feb-09,823.09,875.01,734.52,735.09,1.24492E+11
1-Jan-09,902.99,943.85,804.3,825.88,1.12091E+11
1-Dec-08,888.61,918.85,815.69,903.25,1.12884E+11
31-Oct-08,968.67,1007.51,741.02,896.24,1.1566E+11
