Date,Open,High,Low,close,Vol.
2023-11-01,3038.18,3064.58,3009.13,3038.97,28550000000.00
2023-10-01,3100.00,3109.99,2923.51,3018.77,488860000000.00
2023-09-01,3126.02,3177.06,3078.80,3110.48,526140000000.00
2023-08-01,3288.76,3315.05,3053.04,3119.88,771650000000.00
2023-07-01,3209.16,3322.13,3151.13,3291.04,588950000000.00
2023-06-01,3196.15,3276.55,3144.25,3202.06,590470000000.00
2023-05-01,3306.48,3418.95,3168.57,3204.56,705060000000.00
2023-04-01,3277.34,3396.17,3229.45,3323.27,671560000000.00
2023-03-01,3279.14,3342.86,3216.99,3272.86,724720000000.00
2023-02-01,3262.20,3308.83,3223.26,3279.61,562750000000.00
2023-01-01,3087.51,3310.49,3073.05,3255.67,413340000000.00
2022-12-01,3187.99,3226.08,3031.54,3089.26,614030000000.00
2022-11-01,2899.50,3158.57,2896.76,3151.34,686910000000.00
2022-10-01,3026.94,3099.92,2885.09,2893.48,413860000000.00
2022-09-01,3196.54,3278.17,3021.93,3024.39,549020000000.00
2022-08-01,3246.62,3296.00,3155.19,3202.14,705000000000.00
2022-07-01,3400.26,3424.84,3226.23,3253.24,688090000000.00
2022-06-01,3179.69,3417.01,3160.04,3398.62,873940000000.00
2022-05-01,3044.85,3188.60,2957.40,3186.43,674730000000.00
2022-04-01,3234.67,3290.26,2863.65,3047.06,747790000000.00
2022-03-01,3471.36,3500.29,3023.30,3252.20,870200000000.00
2022-02-01,3407.76,3500.15,3390.46,3462.31,537730000000.00
2022-01-01,3649.15,3651.89,3356.56,3361.44,662570000000.00
2021-12-01,3561.89,3708.94,3558.69,3639.78,863870000000.00
2021-11-01,3530.40,3602.74,3448.44,3563.89,715130000000.00
2021-10-01,3609.09,3625.02,3502.80,3547.34,561820000000.00
2021-09-01,3543.87,3723.85,3514.67,3568.17,1072910000000.00
2021-08-01,3385.69,3544.09,3367.64,3543.94,894270000000.00
2021-07-01,3600.55,3607.70,3312.72,3397.36,790390000000.00
2021-06-01,3608.60,3629.29,3503.18,3591.20,668360000000.00
2021-05-01,3446.07,3626.36,3384.70,3615.48,580170000000.00
2021-04-01,3444.81,3497.12,3373.09,3446.86,569530000000.00
2021-03-01,3531.48,3577.62,3328.31,3441.91,744060000000.00
2021-02-01,3477.17,3731.69,3465.77,3509.08,484070000000.00
2021-01-01,3474.68,3637.10,3446.55,3483.07,663960000000.00
2020-12-01,3388.99,3474.92,3325.17,3473.07,644510000000.00
2020-11-01,3228.72,3456.74,3209.91,3391.76,568060000000.00
2020-10-01,3262.61,3371.09,3219.42,3224.53,303700000000.00
2020-09-01,3389.74,3425.63,3202.34,3218.05,490620000000.00
2020-08-01,3332.18,3456.72,3263.27,3395.68,735910000000.00
2020-07-01,2991.18,3458.79,2984.98,3310.01,1024500000000.00
2020-06-01,2871.96,2990.83,2871.96,2984.67,469980000000.00
2020-05-01,2831.63,2914.28,2802.47,2852.35,370370000000.00
2020-04-01,2743.54,2865.59,2719.90,2860.08,471040000000.00
2020-03-01,2899.31,3074.26,2646.80,2750.30,698950000000.00
2020-02-01,2716.70,3058.90,2685.27,2880.30,653700000000.00
2020-01-01,3066.34,3127.17,2955.35,2976.53,387340000000.00
2019-12-01,2874.45,3051.68,2857.32,3050.12,412770000000.00
2019-11-01,2924.34,3008.31,2858.58,2871.98,304500000000.00
2019-10-01,2905.76,3026.38,2891.54,2929.06,263520000000.00
2019-09-01,2886.94,3042.93,2883.68,2905.19,394690000000.00
2019-08-01,2920.85,2927.34,2733.92,2886.24,369450000000.00
2019-07-01,3024.62,3048.48,2879.69,2932.51,371850000000.00
2019-06-01,2901.74,3012.83,2822.19,2978.88,397470000000.00
2019-05-01,2984.73,2986.54,2833.04,2898.70,446510000000.00
2019-04-01,3111.66,3288.45,3050.03,3078.34,748710000000.00
2019-03-01,2954.40,3129.94,2930.83,3090.76,869190000000.00
2019-02-01,2597.78,2997.49,2590.55,2940.95,442180000000.00
2019-01-01,2497.88,2630.32,2440.91,2584.57,338560000000.00
2018-12-01,2647.13,2666.08,2462.84,2493.90,257510000000.00
2018-11-01,2617.03,2703.51,2555.32,2588.19,405280000000.00
2018-10-01,2768.21,2771.94,2449.20,2602.78,274040000000.00
2018-09-01,2716.40,2827.34,2644.30,2821.35,214840000000.00
2018-08-01,2882.51,2897.40,2653.11,2725.25,282140000000.00
2018-07-01,2841.58,2915.30,2691.02,2876.40,304910000000.00
2018-06-01,3084.75,3128.72,2782.38,2847.42,262400000000.00
2018-05-01,3087.41,3219.74,3041.00,3095.47,297930000000.00
2018-04-01,3169.78,3220.85,3041.63,3082.23,269900000000.00
2018-03-01,3235.09,3333.88,3091.46,3168.90,370410000000.00
2018-02-01,3478.67,3495.09,3062.74,3259.41,288900000000.00
2018-01-01,3314.03,3587.03,3314.03,3480.83,479780000000.00
2017-12-01,3315.10,3324.52,3254.18,3307.17,294120000000.00
2017-11-01,3393.97,3450.49,3300.78,3317.19,398240000000.00
2017-10-01,3403.25,3421.10,3357.28,3393.34,270670000000.00
2017-09-01,3365.99,3391.64,3332.60,3348.94,423260000000.00
2017-08-01,3274.37,3376.65,3200.75,3360.81,505990000000.00
2017-07-01,3192.00,3276.95,3139.50,3273.03,418760000000.00
2017-06-01,3108.42,3193.46,3078.79,3192.43,320470000000.00
2017-05-01,3147.23,3154.78,3016.53,3117.18,322800000000.00
2017-04-01,3235.66,3295.19,3097.33,3154.66,378950000000.00
2017-03-01,3240.07,3283.24,3193.16,3222.51,411760000000.00
2017-02-01,3160.08,3264.08,3132.03,3241.73,339800000000.00
2017-01-01,3105.31,3174.58,3044.29,3159.17,275950000000.00
2016-12-01,3257.03,3279.71,3068.42,3103.64,396590000000.00
2016-11-01,3101.66,3301.21,3094.10,3250.03,520080000000.00
2016-10-01,3020.46,3137.03,3014.62,3100.49,278310000000.00
2016-09-01,3083.96,3105.68,2969.13,3004.70,279580000000.00
2016-08-01,2971.95,3140.44,2931.96,3085.49,395620000000.00
2016-07-01,2931.80,3069.05,2922.52,2979.34,401170000000.00
2016-06-01,2917.15,2945.94,2807.60,2929.61,317590000000.00
2016-05-01,2940.39,3004.42,2780.76,2916.62,285380000000.00
2016-04-01,2997.09,3097.16,2905.05,2938.32,378700000000.00
2016-03-01,2688.38,3028.32,2668.76,3003.92,508460000000.00
2016-02-01,2730.98,2933.96,2638.96,2687.98,301330000000.00
2016-01-01,3536.59,3538.69,2638.30,2737.60,400780000000.00
2015-12-01,3442.44,3684.57,3399.28,3539.18,536820000000.00
2015-11-01,3337.58,3678.27,3302.18,3445.40,706580000000.00
2015-10-01,3156.07,3457.52,3133.13,3382.56,545260000000.00
2015-09-01,3157.83,3256.74,2983.54,3052.78,536250000000.00
2015-08-01,3614.99,4006.34,2850.71,3205.99,871930000000.00
2015-07-01,4214.15,4317.05,3373.54,3663.73,1319360000000.00
2015-06-01,4633.10,5178.19,3847.88,4277.22,1287060000000.00
2015-05-01,4441.34,4986.50,4099.04,4611.74,1066490000000.00
2015-04-01,3748.34,4572.39,3742.21,4441.66,1267740000000.00
2015-03-01,3332.72,3835.57,3198.37,3747.90,944250000000.00
2015-02-01,3148.14,3324.55,3049.11,3310.30,361560000000.00
2015-01-01,3258.63,3406.79,3095.07,3210.36,703740000000.00
2014-12-01,2691.72,3239.36,2665.69,3234.68,1138350000000.00
2014-11-01,2425.22,2683.18,2401.75,2682.83,569130000000.00
2014-10-01,2368.58,2423.60,2279.84,2420.18,369730000000.00
2014-09-01,2220.13,2365.49,2217.68,2363.87,419100000000.00
2014-08-01,2194.17,2248.94,2180.60,2217.20,334380000000.00
