,1. open,2. high,3. low,4. close,5. volume
10/20/2023,127.28,134.48,124.13,125.17,705588123
9/29/2023,139.455,145.86,123.04,127.12,1120523243
8/31/2023,133.55,143.63,126.41,138.01,1213497007
7/31/2023,130.82,136.65,125.915,133.68,1059097946
6/30/2023,120.69,131.49,119.93,130.36,1243071267
5/31/2023,104.95,122.92,101.15,120.58,1432007632
4/28/2023,102.3,110.86,97.705,105.45,1222124091
3/31/2023,93.87,103.49,88.12,103.29,1349466996
2/28/2023,102.53,114,92.3186,94.23,1364198308
1/31/2023,85.46,103.485,81.43,103.13,1523798384
12/30/2022,96.99,97.23,81.69,84,1549193116
11/30/2022,103.99,104.58,85.87,96.54,2035252422
10/31/2022,113.58,123,97.66,102.44,1459511591
9/30/2022,126,136.49,112.06,113,1209987592
8/31/2022,134.96,146.57,126.74,126.77,1170389539
7/29/2022,106.29,137.65,105.8469,134.95,1338005773
6/30/2022,2445.12,2512.2,101.43,106.21,1457571482
5/31/2022,2448.02,2524.41,2025.2,2404.19,112895255
4/29/2022,3282.99,3367.89,2432.5,2485.63,73072079
3/31/2022,3054.65,3416.63,2671.45,3259.95,81145583
2/28/2022,3000,3276.69,2766.66,3071.26,84446686
1/31/2022,3351,3428,2707.04,2991.47,76146845
12/31/2021,3545,3559.88,3303.9,3334.34,64405344
11/30/2021,3361.8,3762.145,3283.55,3507.07,75633992
10/29/2021,3289.01,3479,3176.25,3372.43,63680713
9/30/2021,3496.396,3549.99,3273.99,3285.04,62540133
8/31/2021,3353.1,3472.58,3175.76,3470.79,62844829
7/30/2021,3434.61,3773.0782,3306.98,3327.59,82554006
6/30/2021,3243.495,3524.8599,3172.2,3440.16,66960544
5/28/2021,3484.73,3486.645,3127.37,3223.07,75191624
4/30/2021,3117.94,3554,3115.55,3467.42,76843571
3/31/2021,3127.89,3182,2881.0001,3094.08,78204991
2/26/2021,3242.36,3434,3036.7,3092.93,70893385
1/29/2021,3270,3363.89,3086,3206.2,71427780
12/31/2020,3188.5,3350.65,3072.82,3256.93,77463508
11/30/2020,3061.74,3366.8,2950.12,3168.04,90800583
10/30/2020,3208,3496.24,3019,3036.15,116252115
9/30/2020,3489.58,3552.25,2871,3148.73,115969967
8/31/2020,3180.51,3495,3073,3450.96,83519879
7/31/2020,2757.99,3344.29,2754,3164.68,127304238
6/30/2020,2448,2796,2437.13,2758.82,87845661
5/29/2020,2336.8,2525.45,2256.38,2442.37,82620883
4/30/2020,1932.97,2475,1889.15,2474,124631816
3/31/2020,1906.49,1996.33,1626.03,1949.72,163796017
2/28/2020,2010.6,2185.95,1811.13,1883.75,92555977
1/31/2020,1875,2055.72,1815.34,2008.72,84743300
12/31/2019,1804.4,1901.4,1735,1847.84,68522009
11/29/2019,1788.01,1824.69,1722.71,1800.8,52060472
10/31/2019,1746,1798.85,1685.06,1776.66,71821008
9/30/2019,1770,1853.66,1709.22,1735.91,62003799
8/30/2019,1871.72,1897.92,1743.51,1776.29,79978762
7/31/2019,1922.98,2035.8,1849.44,1866.78,73190780
6/28/2019,1760.01,1935.2,1672,1893.63,74746589
5/31/2019,1933.09,1964.4,1772.7,1775.07,98214360
4/30/2019,1800.11,1956.34,1798.73,1926.52,81293632
3/29/2019,1655.13,1823.75,1586.57,1780.75,100832035
2/28/2019,1638.88,1673.06,1566.76,1639.83,80936924
1/31/2019,1465.2,1736.41,1460.93,1718.73,134015530
12/31/2018,1769.46,1778.34,1307,1501.97,154812304
11/30/2018,1623.53,1784,1420,1690.17,139290208
10/31/2018,2021.99,2033.19,1476.36,1598.01,183228552
9/28/2018,2026.5,2050.5,1865,2003,94445693
8/31/2018,1784,2025.57,1776.02,2012.71,96575676
7/31/2018,1682.7,1880.05,1678.06,1777.44,97629820
6/29/2018,1637.03,1763.1,1635.09,1699.8,85941510
5/31/2018,1563.22,1635,1546.02,1629.62,71615299
4/30/2018,1417.62,1638.1,1352.88,1566.13,129945743
3/29/2018,1513.6,1617.54,1365.2,1447.34,128401298
2/28/2018,1445,1528.7,1265.93,1512.45,133362428
1/31/2018,1172,1472.58,1170.51,1450.89,94145634
12/29/2017,1172.05,1194.78,1124.74,1169.47,56130525
11/30/2017,1105.4,1213.41,1086.87,1176.75,76226064
10/31/2017,964,1122.79,950.37,1105.28,80304293
9/29/2017,984.2,1000,931.75,961.35,58038449
8/31/2017,996.11,1006.4,936.33,980.6,75779478
7/31/2017,972.79,1083.31,951.0001,987.78,76564735
6/30/2017,998.59,1017,927,968,94729701
5/31/2017,927.8,1001.2,927.8,994.62,75223469
4/28/2017,888,949.59,884.49,924.99,72336605
3/31/2017,853.05,890.35,833.5,886.54,60722752
2/28/2017,829.21,860.86,803,845.04,71748231
1/31/2017,757.92,843.84,747.7,823.48,70714587
12/30/2016,752.41,782.46,736.7,749.87,73660584
11/30/2016,799,800.84,710.1,750.57,110085967
10/31/2016,836,847.21,774.61,789.82,77063812
9/30/2016,770.9,839.95,756,837.31,67354133
8/31/2016,759.87,774.98,750.35,769.16,50000397
7/29/2016,717.32,766,716.54,758.81,68635440
6/30/2016,720.9,731.5,682.115,715.62,74556809
5/31/2016,663.92,724.23,656,722.79,90623145
4/29/2016,590.49,669.98,585.25,659.59,78464320
3/31/2016,556.29,603.24,538.58,593.64,93964682
2/29/2016,578.15,581.8,474,552.52,124144797
1/29/2016,656.29,657.715,547.18,587,130200780
12/31/2015,673.75,696.44,635.27,675.89,90220804
11/30/2015,627.13,682.77,620.41,664.8,87301503
10/30/2015,511,630.72,506,625.9,97188843
9/30/2015,499.14,549.78,490.5,511.67,76602841
8/31/2015,537.45,542.74,451,512.89,82893196
7/31/2015,439.35,580.57,425.57,536.15,102069942
6/30/2015,430.4,447.04,419.14,434.09,54989227
5/29/2015,423.82,439,414.55,429.23,51984199
4/30/2015,372.1,452.65,368.34,421.78,84404887
3/31/2015,380.85,388.4182,365.65,372.1,55502746
2/27/2015,350.05,389.37,350.01,380.16,70847240
1/30/2015,312.58,359.5,285.25,354.53,103040529
12/31/2014,338.12,340.64,293.03,310.35,86874154
11/28/2014,306.24,341.26,292.29,338.64,68993021
10/31/2014,322.04,325.16,284,305.46,111120640
9/30/2014,339.98,349.38,317.64,322.44,68006506
8/29/2014,313.69,346.67,304.588,339.04,62015200
7/31/2014,325.86,364.85,311.86,312.99,99337300
6/30/2014,312.59,340.7199,303.84,324.78,76493200
5/30/2014,304.13,314.87,284.38,312.55,78579200
4/30/2014,338.09,348.295,288,304.13,138278700
3/31/2014,358.735,383.11,330.88,336.365,75253500
2/28/2014,358.98,365.865,337.73,362.1,83009000
1/31/2014,398.8,408.06,357.76,358.69,81011900
12/31/2013,399,405.63,379.5,398.79,55686700
11/29/2013,365.63,394.0999,341.88,393.62,54207700
10/31/2013,314.22,368.4,296.5025,364.03,77295400
9/30/2013,284.73,320.57,284.17,312.64,43468800
8/30/2013,303.08,306.21,279.33,280.98,43773900
7/31/2013,279,313.62,277.16,301.22,67536900
6/28/2013,268.96,283.34,262.95,277.69,58575800
5/31/2013,253.9,271.91,245.75,269.2,59050500
4/30/2013,266.98,275.8,248.56,253.81,76916200
3/28/2013,263.27,277.4,252.07,266.49,58505700
2/28/2013,268.93,274.3,255.11,264.27,68661700
1/31/2013,256.08,284.72,253.26,265.5,84226400
12/31/2012,252.54,263.11,242.75,250.87,60871200
11/30/2012,234.23,252.65,218.18,252.05,67213600
10/31/2012,255.4,261.9,222.92,232.8931,81568500
9/28/2012,248.27,264.11,244.66,254.32,63570500
8/31/2012,234.14,250,228.66,248.27,60192400
7/31/2012,229.3,240.74,212.61,233.3,77340200
6/29/2012,208.44,228.35,206.37,228.35,65745600
5/31/2012,229.4,232.97,207.11,212.91,92774300
4/30/2012,198.02,233.84,183.65,231.9,110535400
3/30/2012,179.89,209.85,176.58,202.51,112975100
2/29/2012,173.81,193.57,172,179.69,146580400
1/31/2012,175.89,196.5,173.5,194.44,110536900
12/30/2011,191.85,199.66,166.97,173.1,125595200
11/30/2011,208.11,222.35,181.51,192.29,136588100
10/31/2011,217.01,246.71,196.51,213.51,159214400
9/30/2011,215.28,244,204.47,216.23,143623300
8/31/2011,225,227.45,177.1,215.23,155194700
7/29/2011,205.55,227.2,203.61,222.52,92808500
6/30/2011,196.06,206.25,181.59,204.49,95563700
5/31/2011,196.57,206.39,190.88,196.69,106274500
4/29/2011,181.58,197.8,175.37,195.81,116749400
3/31/2011,173.53,181.57,160.59,180.13,118979100
2/28/2011,170.52,191.4,169.51,173.29,95776400
1/31/2011,181.37,191.6,166.9,169.64,113611300
12/31/2010,179.16,185.65,173.09,180,93661700
11/30/2010,164.45,181.8425,156.77,175.4,131011400
10/29/2010,157.06,171.99,151.4,165.23,142883500
9/30/2010,126.36,161.78,126.17,157.06,134321000
8/31/2010,119.15,130.81,117.57,124.83,113419800
7/30/2010,108.9,124.88,105.8,117.89,175326200
6/30/2010,124.97,129.15,106.01,109.26,133378500
5/28/2010,137.2,139.44,117.52,125.46,140909900
4/30/2010,135.8,151.09,130.78,137.1,173025100
3/31/2010,118.85,138.19,117.53,135.77,158042600
2/26/2010,123.18,124.86,113.82,118.4,210145800
1/29/2010,136.25,136.61,118.12,125.41,230861000
12/31/2009,136.97,145.91,125.6474,134.52,207471100
11/30/2009,118.66,136.08,116.25,135.91,160305100
10/30/2009,92.5,125.68,88.27,118.81,268616400
9/30/2009,80.74,94.5,77.51,93.36,128121800
8/31/2009,86.56,88.2,80.25,81.19,112622900
7/31/2009,84.42,94.4,75.41,85.76,175461400
6/30/2009,78.21,88.56,76.25,83.66,152085400
5/29/2009,80.38,83.6,73.1,77.99,137603400
4/30/2009,73.015,86.68,71.71,80.52,185032000
3/31/2009,63.94,75.61,59.82,73.44,227672300
2/27/2009,58.57,67.36,58.13,64.79,186780200
1/30/2009,51.35,59.74,47.63,58.82,204072300
12/31/2008,42,54.85,38.82,51.28,206194300
11/28/2008,56.35,58.73,34.68,42.7,228051500
