,1. open,2. high,3. low,4. close,5. volume
10/24/2023,131.21,141.22,131.17,138.81,439536653
9/29/2023,137.455,139.16,127.22,130.86,477625238
8/31/2023,130.775,138,126.3824,136.17,593521002
7/31/2023,119.24,133.74,115.35,132.72,707114432
6/30/2023,122.815,129.04,116.1,119.7,656884438
5/31/2023,106.84,126.43,103.71,122.87,820529683
4/28/2023,102.39,109.17,101.93,107.34,603728992
3/31/2023,89.98,106.59,89.42,103.73,860049034
2/28/2023,98.71,108.18,88.575,90.06,952709694
1/31/2023,89.585,100.32,84.86,98.84,672897542
12/30/2022,101.02,102.25,85.94,88.23,602717061
11/30/2022,95.45,101.04,83.34,100.99,716537649
10/31/2022,96.76,104.82,91.8,94.51,681653109
9/30/2022,108.28,111.62,95.56,95.65,612908183
8/31/2022,115.3,122.43,107.8,108.22,515791070
7/29/2022,2158.66,2393.7,104.07,116.32,428144985
6/30/2022,2297.1,2386.94,2100.92,2179.26,38543689
5/31/2022,2268.1,2457.09,2037.6936,2275.24,42514648
4/29/2022,2790,2874.24,2254.7301,2282.19,37720682
3/31/2022,2697.57,2875.87,2505.5,2781.35,36383218
2/28/2022,2751.89,3030.9315,2499.065,2701.14,46381207
1/31/2022,2901.1,2929.6978,2490,2706.07,38092594
12/31/2021,2880,2982,2786.42,2897.04,30992881
11/30/2021,2960.92,3019.33,2832.03,2837.95,30278875
10/29/2021,2688.95,2973,2621,2960.92,36040000
9/30/2021,2900,2925.075,2671.12,2673.52,29545719
8/31/2021,2702.34,2919.41,2666.39,2893.95,23041294
7/30/2021,2434.5,2765.94,2430.63,2694.53,30452492
6/30/2021,2374.44,2461.91,2329.52,2441.79,27241174
5/28/2021,2364.91,2389.05,2193.62,2356.85,30175239
4/30/2021,2092.25,2431.38,2091.43,2353.5,35119920
3/31/2021,2048,2113.74,1994,2062.52,37837953
2/26/2021,1844.585,2145.14,1844.585,2021.91,33609952
1/29/2021,1760,1932.08,1696.1014,1827.36,39569373
12/31/2020,1766.655,1843.83,1694,1752.64,30424255
