Date,us_inflation_rate,us_share_price,china_inflation_rate,china_share_price,india_inflation_rate,india_share_price
2000-01,2.738892,39.55779,-0.2,19.75834,2.619048,62.86602
2000-02,3.221884,43.48396,0.7,20.65533,3.614458,59.92387
2000-03,3.757576,46.61248,-0.2,19.18312,4.830918,61.62468
2000-04,3.068592,49.17913,-0.3,17.93419,5.542169,64.01819
2000-05,3.188929,49.00218,0.1,15.61101,5.011933,63.33833
2000-06,3.730445,52.0698,0.5,17.09038,5.238095,64.33157
2000-07,3.659268,53.34634,0.5,16.98767,4.95283,64.67895
2000-08,3.411131,55.90147,0.3,15.81341,3.99061,65.96814
2000-09,3.454437,52.51002,0,16.15497,3.496504,66.10835
2000-10,3.448276,52.32223,0,14.00743,2.745996,64.02615
2000-11,3.446227,55.59233,1.3,14.35871,2.739726,63.94636
2000-12,3.386809,55.89281,0.4,14.8886,3.480278,63.89025
2001-01,3.732228,56.27927,1.2,15.20683,3.24826,64.42542
2001-02,3.533569,53.202,0,15.75518,3.023256,64.176
2001-03,2.920561,55.10681,0.8,13.95004,2.534562,59.7594
2001-04,3.269119,57.76428,1.6,12.70867,2.283105,60.09292
2001-05,3.61516,58.74092,1.7,13.19491,2.5,63.83125
2001-06,3.24826,59.9008,1.4,12.5709,3.393665,62.47472
2001-07,2.719908,57.85673,1.5,12.23409,4.044944,60.79872
2001-08,2.719908,51.6503,1,12.08408,5.191874,59.8657
2001-09,2.648244,49.19723,-0.1,10.66743,4.72973,54.59542
2001-10,2.126437,45.66799,0.2,10.71535,4.231626,55.06464
2001-11,1.895462,45.31845,-0.3,11.58969,4.888889,56.99183
2001-12,1.551724,45.59859,-0.3,12.10963,5.15695,57.73238
2002-01,1.142204,40.49606,-1,12.25764,4.94382,57.62083
2002-02,1.137656,40.8733,0,12.89828,5.191874,56.41106
2002-03,1.475596,44.06775,-0.8,13.05831,5.16854,59.49042
2002-04,1.639344,44.2691,-1.3,12.55672,4.6875,58.18821
2002-05,1.181767,43.20486,-1.1,12.079,4.656319,57.0232
2002-06,1.067416,42.28223,-0.8,11.90569,4.157549,53.90807
2002-07,1.464789,45.87848,-0.9,11.75158,3.887689,48.25622
2002-08,1.802817,44.92866,-0.7,11.15506,3.862661,48.70765
2002-09,1.514302,43.77013,-0.7,11.27949,4.301075,46.76304
2002-10,2.025886,41.63881,-0.8,10.79259,4.059829,45.54277
2002-11,2.198422,39.63171,-0.7,11.16548,3.601695,47.87475
2002-12,2.37691,37.90963,-0.4,12.12681,3.198294,47.52485
2003-01,2.597403,38.7258,0.4,12.16387,3.426124,47.3499
2003-02,2.980877,40.61364,0.2,11.97972,3.862661,44.37599
2003-03,3.020134,40.11885,0.9,11.50371,4.059829,44.24553
2003-04,2.224694,41.93172,1,11.08506,5.117271,46.62976
2003-05,2.057842,41.64815,0.7,11.07625,4.661017,49.36493
2003-06,2.112285,41.65954,0.3,12.38038,4.411765,52.29276
2003-07,2.109939,40.6582,0.5,13.39866,4.158004,52.14394
2003-08,2.158273,39.37652,0.9,14.53074,3.099174,52.26897
2003-09,2.320442,38.0454,1.1,15.77203,2.886598,53.80064
2003-10,2.040816,37.13841,1.8,17.2798,3.285421,55.20531
2003-11,1.76503,36.81633,3,18.09503,3.067485,56.13243
2003-12,1.879491,39.80903,3.2,19.86376,3.719008,58.51985
2004-01,1.926252,43.0057,3.2,21.74186,4.347826,61.47464
2004-02,1.693064,45.48534,2.1,21.27503,4.132231,62.40279
2004-03,1.737242,46.22312,3,20.55079,3.49076,61.57739
2004-04,2.285093,45.71266,3.8,21.26552,2.231237,61.8445
2004-05,3.051771,42.36929,4.4,19.02496,2.834008,59.72372
2004-06,3.266195,39.66047,5,17.63306,3.018109,61.33126
2004-07,2.990756,38.47667,5.3,18.17775,3.193613,60.38981
2004-08,2.654388,36.79975,5.3,18.80388,4.609219,59.49894
2004-09,2.537797,37.03784,5.2,19.82413,4.809619,61.34568
2004-10,3.189189,36.76845,4.3,20.8169,4.572565,61.89985
2004-11,3.523035,36.35292,2.8,21.80169,4.166667,64.97321
2004-12,3.255562,35.2632,2.4,23.3719,3.784861,66.84936
2005-01,2.969762,33.49318,1.9,23.00786,4.365079,66.09673
2005-02,3.007519,34.47095,3.9,24.10744,4.166667,67.847
2005-03,3.148346,33.84255,2.7,24.37739,4.166667,68.08076
2005-04,3.510638,32.4554,1.8,23.33418,4.960318,66.29041
2005-05,2.80275,29.94262,1.8,23.69661,3.740157,66.47942
2005-06,2.530311,29.3521,1.6,25.34541,3.320313,67.7982
2005-07,3.167899,28.19701,1.8,26.86517,4.061895,69.14153
2005-08,3.641161,31.16262,1.3,28.24818,3.448276,70.08316
2005-09,4.686677,32.01052,0.9,30.1844,3.632887,71.01159
2005-10,4.347826,30.72042,1.2,30.10461,4.182509,69.05574
2005-11,3.455497,29.8002,1.3,31.03629,5.333333,71.1132
2005-12,3.415659,30.45021,1.6,33.49084,5.566219,72.95638
2006-01,3.985317,33.14935,1.9,34.87975,4.372623,74.89481
2006-02,3.597497,34.64673,0.9,36.87485,4.571429,75.36825
2006-03,3.362649,34.67703,0.8,39.6778,4.571429,76.55873
2006-04,3.545735,37.19163,1.2,42.75984,4.652825,78.15821
2006-05,4.166667,42.46607,1.4,42.43955,5.925406,78.19043
2006-06,4.318766,43.56654,1.5,36.23586,7.269146,74.79095
2006-07,4.145343,45.64816,1,38.59044,6.332198,75.96101
2006-08,3.818737,43.4818,1.3,41.3255,5.938375,77.68768
2006-09,2.062374,46.05529,1.5,43.99506,6.398648,78.53902
2006-10,1.305221,48.2417,1.4,46.14242,6.917439,81.02309
2006-11,1.973684,52.92221,1.9,49.03986,5.950735,82.98521
2006-12,2.54065,62.41033,2.8,49.7894,6.528648,85.11807
2007-01,2.075643,75.76286,2.2,51.16927,6.722689,85.53719
2007-02,2.415199,77.31548,2.7,51.73589,7.563025,87.57293
2007-03,2.778779,80.90992,3.3,47.04428,6.722689,85.42087
2007-04,2.573697,95.69949,3,49.15826,6.666667,89.44112
2007-05,2.690864,109.056,3.4,51.65701,6.61157,92.02119
2007-06,2.687038,108.5649,4.4,52.39737,5.691057,92.69252
2007-07,2.358231,108.6573,5.6,55.75706,6.451613,93.54096
2007-08,1.970083,131.1865,6.5,54.05834,7.258065,88.41669
2007-09,2.755052,145.0218,6.2,58.65436,6.4,91.48969
2007-10,3.536175,155.9774,6.5,67.43953,5.511811,95.14953
2007-11,4.306203,142.4648,6.9,70.40101,5.511811,91.09004
2007-12,4.081269,137.409,6.5,72.36526,5.511811,91.88258
2008-01,4.280294,136.7756,7.1,70.64267,5.511811,85.92138
2008-02,4.026556,121.4174,8.7,64.80096,5.46875,84.64895
2008-03,3.981456,105.9328,8.3,57.72417,7.874016,82.16946
2008-04,3.93689,91.97663,8.5,59.50109,7.8125,85.92222
2008-05,4.175543,96.44287,7.7,62.08092,7.751938,88.26169
2008-06,5.02179,81.48258,7.1,54.82081,7.692307,84.26327
2008-07,5.600123,75.81496,6.3,50.1379,8.333333,78.95065
2008-08,5.371855,67.54404,4.9,53.8154,9.022556,78.31818
2008-09,4.936927,58.76646,4.6,51.15026,9.774436,74.07194
2008-10,3.655186,53.5909,4,38.84584,10.44776,57.41563
2008-11,1.069575,50.75708,2.4,34.4948,10.44776,51.77961
2008-12,0.0914129,52.78304,1.2,34.72878,9.701492,51.73662
2009-01,0.0298465,52.44942,1,34.1063,10.44776,51.37847
2009-02,0.2361911,59.66273,-1.6,33.52275,9.62963,47.38305
2009-03,-0.3835562,60.28667,-1.2,32.60434,8.029197,44.39098
2009-04,-0.7368857,66.55511,-1.5,39.80186,8.695652,50.01416
2009-05,-1.281436,70.67198,-1.4,47.40269,8.633094,54.52264
2009-06,-1.426776,76.57807,-1.7,54.0356,9.285714,56.05994
2009-07,-2.097161,86.84656,-1.8,53.49723,11.88811,56.34072
2009-08,-1.484349,83.20996,-1.2,56.34653,11.72414,61.60015
2009-09,-1.286206,78.16435,-0.8,59.84916,11.64384,63.97417
2009-10,-0.1828483,79.7127,-0.5,61.58843,11.48649,65.43233
2009-11,1.838296,86.75056,0.6,60.8503,13.51351,66.3718
2009-12,2.721331,87.12477,1.9,62.55754,14.96599,67.1647
2010-01,2.625709,85.744,1.5,63.04546,16.21622,67.98261
2010-02,2.143332,81.02689,2.7,59.20132,14.86487,65.13094
2010-03,2.313959,82.70515,2.4,63.13286,14.86487,68.83686
2010-04,2.236447,82.74054,2.8,64.64835,13.33333,71.22054
2010-05,2.020986,72.28789,3.1,61.57322,13.90728,65.55708
2010-06,1.053349,68.86481,2.9,63.23722,13.72549,63.38498
